soc2018,mfg_share,emp_total,n_sources,mfg_share_2002
11-1011,0.1236983842010772,389900.0,1,0.11707748424892231
11-1021,0.11129374085016198,1892110.0,1,0.10870827576540318
11-1031,0.0,65280.0,1,0.0
11-2011,0.07101346562721474,70550.0,1,0.07173420588975585
11-2021,0.19150803664490645,182290.0,1,0.1933534743202417
11-2022,0.17631143366437485,314160.0,1,0.1808666911494675
11-2032,0.031841652323580036,58100.0,1,0.022858082552211802
11-2033,0.031841652323580036,58100.0,1,0.022858082552211802
11-3012,0.06677208366276145,278260.0,1,0.06944307702405567
11-3013,0.06677208366276145,278260.0,1,0.06944307702405567
11-3021,0.1239750244489581,265860.0,1,0.12703348375109022
11-3031,0.1065151137605183,521710.0,1,0.10279641859057655
11-3051,0.8452094366875301,166160.0,1,0.8489546210501306
11-3061,0.2934589800443459,90200.0,1,0.2676997578692494
11-3071,0.16676986584107328,96900.0,1,0.16127488514548238
11-9013,0.02536997885835095,4730.0,1,0.008333333333333333
11-9021,0.00931422722620266,195400.0,1,0.008001939864209506
11-9031,0.0,55840.0,1,0.0
11-9032,0.0,205510.0,1,0.0
11-9033,0.0,97870.0,1,0.0
11-9041,0.41031044407894735,194560.0,1,0.3902293714626154
11-9051,0.000784313725490196,229500.0,1,0.000884066706851517
11-9071,0.0,3510.0,1,0.0
11-9081,0.0,29930.0,1,0.0
11-9111,0.0009345378487828757,224710.0,1,0.0038307428118532875
11-9121,0.17761085534286405,41270.0,1,0.16699362432564982
11-9131,0.0,26060.0,1,0.0
11-9141,0.0009018294254058232,155240.0,1,0.0005191434133679429
11-9151,0.0,115770.0,1,0.0
11-9161,0.025219298245614034,9120.0,1,0.014492753623188404
11-9171,0.0,22910.0,1,0.0
13-1011,0.014345991561181435,11850.0,1,0.0
13-1021,0.1509705248023005,13910.0,1,0.13469675599435826
13-1022,0.03289473684210526,135280.0,1,0.027970446320868515
13-1023,0.4032871387527463,236680.0,1,0.39772826945004824
13-1031,0.0,233380.0,1,0.0
13-1032,0.0,11090.0,1,0.0
13-1041,0.04653601625483385,152570.0,1,0.0376563158634256
13-1051,0.1915564985582939,183810.0,1,0.196278610242055
13-1071,0.04665401334721117,163330.0,1,0.04627988017362597
13-1074,0.0,2950.0,1,0.0
13-1111,0.062015318905247085,419090.0,1,0.05427653069224136
13-1121,0.027456889335342374,179190.0,2,0.02170954995469843
13-1141,0.11754601226993865,81500.0,1,0.11588038154163444
13-1151,0.08624580053151482,199430.0,1,0.08257303946694003
13-1161,0.08201804815163234,287010.0,2,0.07279362125298719
13-2011,0.08928687301278308,924660.0,1,0.0886881497583997
13-2022,0.0,60920.0,1,0.0
13-2023,0.0,60920.0,1,0.0
13-2031,0.07989031078610603,54700.0,1,0.07317073170731707
13-2041,0.04205263931774739,68010.0,1,0.0348274246446978
13-2051,0.07775269626285428,159480.0,1,0.07444823370439482
13-2052,0.00039672044432689763,75620.0,1,0.0
13-2053,0.0,91230.0,1,0.0
13-2054,0.07775269626285428,159480.0,1,0.07444823370439482
13-2061,0.0,22050.0,1,0.0
13-2071,0.0,30320.0,1,0.0
13-2072,0.0,235930.0,1,0.0
13-2081,0.0,71060.0,1,0.0
13-2082,0.0,50050.0,1,0.0
15-1211,0.08124507653984543,469690.0,1,0.06188831318364997
15-1212,0.0723775256019928,144520.0,1,0.043209876543209874
15-1221,0.09851138353765324,22840.0,1,0.08697591436217662
15-1231,0.0723775256019928,144520.0,1,0.043209876543209874
15-1232,0.07181160625207848,481120.0,1,0.07382227428667057
15-1241,0.07915859396623305,614210.0,2,0.057493386915311126
15-1242,0.08786103817410625,99020.0,1,0.0743633965709648
15-1243,0.08786103817410625,99020.0,1,0.0743633965709648
15-1244,0.07796734544120344,381570.0,2,0.06641353633730669
15-1251,0.0772982765828959,430540.0,1,0.0660004024414783
15-1252,0.1504655105743776,672380.0,2,0.1335870185444704
15-1253,0.1504655105743776,672380.0,2,0.1335870185444704
15-1254,0.0723775256019928,144520.0,1,0.043209876543209874
15-1255,0.0723775256019928,144520.0,1,0.043209876543209874
15-1299,0.06391377905883827,159590.0,1,0.0685907714234812
15-2011,0.0,14340.0,1,0.0
15-2021,0.04424778761061947,2260.0,1,0.054187192118226604
15-2031,0.05300018928639031,52830.0,1,0.051967493584260054
15-2041,0.04864532019704434,16240.0,1,0.042798913043478264
15-2099,0.16216216216216217,1480.0,1,0.0660377358490566
17-1011,0.0013315579227696406,90120.0,1,0.0
17-1012,0.0,18360.0,1,0.0
17-1021,0.005861664712778429,8530.0,1,0.0
17-1022,0.0,50890.0,1,0.0
17-2011,0.7022644265887509,68450.0,1,0.7383205648189876
17-2021,0.19834710743801653,1210.0,1,0.10179640718562874
17-2031,0.413946587537092,6740.0,1,0.43137254901960786
17-2041,0.5511345974510413,32170.0,1,0.5505362365940851
17-2051,0.018021528420437388,205310.0,1,0.01476865708257691
17-2061,0.4904582810976459,71790.0,1,0.43808630393996245
17-2071,0.4035691702381789,142330.0,1,0.3952293836194765
17-2072,0.3353556802669498,131860.0,1,0.38040646169880143
17-2081,0.10507569011576136,44920.0,1,0.09565823078709078
17-2111,0.2947877114256127,28970.0,1,0.2617554858934169
17-2112,0.7326371091747822,156080.0,1,0.7122844068989792
17-2121,0.12184873949579832,4760.0,1,0.13953488372093023
17-2131,0.7128408091468778,22740.0,1,0.7268887846081653
17-2141,0.5588564204794088,205670.0,1,0.5603923973022685
17-2151,0.042505592841163314,4470.0,1,0.03411513859275053
17-2161,0.0,14600.0,1,0.008275862068965517
17-2171,0.05701754385964912,11400.0,1,0.08313253012048193
17-3011,0.05525315805689637,97370.0,1,0.04735152487961477
17-3012,0.379519902765117,32910.0,1,0.3719277465205804
