onet_code,S1,S2,A1,A2
11-1011.00,4.186296296296296,0.59375,4.244,0.8521875
11-1011.03,3.4855555555555555,0.57875,3.718,0.65625
11-1021.00,3.2725925925925927,0.87375,3.4115,0.8790625
11-2011.00,3.374074074074074,0.2175,3.6875,0.6793750000000001
11-2021.00,3.523333333333333,0.32875,3.725,0.6878124999999999
11-2022.00,3.476666666666667,0.40625,3.6255,0.5971875
11-2033.00,3.093703703703704,0.20375,3.4745,0.6090625000000001
11-3012.00,3.0362962962962965,0.85875,3.2990000000000004,1.2334375
11-3013.00,3.0792592592592594,2.0012499999999998,3.3619999999999997,1.9534375
11-3013.01,3.235185185185185,1.3912499999999999,3.6990000000000003,1.965
11-3021.00,3.5011111111111113,1.6712500000000001,3.543,0.9612499999999999
11-3031.00,3.3144444444444443,0.47,3.761,0.6396875
11-3031.01,3.5637037037037036,0.3275,3.8560000000000003,0.585
11-3031.03,3.2037037037037037,0.28125,3.8634999999999997,0.6096875
11-3051.00,3.5833333333333335,2.21875,3.7064999999999997,1.6840625
11-3051.01,3.484814814814815,2.17125,3.7305,1.281875
11-3051.02,3.4125925925925924,2.59375,3.4935,1.679375
11-3051.03,3.384444444444444,1.65625,3.5875,1.7378125
11-3051.04,3.3607407407407406,2.57875,3.5740000000000003,1.780625
11-3051.06,3.4544444444444444,2.61,3.6814999999999998,1.899375
11-3061.00,3.4774074074074073,0.59375,3.6315,0.620625
11-3071.04,3.371111111111111,0.5475,3.4814999999999996,0.6725
11-3111.00,3.2166666666666663,0.1725,3.306,0.4015625
11-3121.00,3.5366666666666666,0.21875,3.7805,0.5890625
11-3131.00,3.5144444444444445,0.345,3.7019999999999995,0.695
11-9021.00,3.63037037037037,1.6575,3.8115,1.683125
11-9031.00,3.296666666666667,0.59375,3.5375,1.0428125
11-9032.00,3.9722222222222223,0.68625,4.0195,0.7965625000000001
11-9033.00,3.448888888888889,0.235,3.7815,0.558125
11-9041.00,3.5459259259259257,1.1225,3.9685,1.0425
11-9041.01,3.2003703703703703,1.8125,3.7435,1.5621875
11-9051.00,3.051111111111111,1.4075,3.169,1.5515625
11-9071.00,3.1844444444444444,0.6875,3.4435000000000002,1.2190625
11-9072.00,3.0877777777777777,0.735,3.276,1.243125
11-9081.00,3.2877777777777775,1.28125,3.444,1.5903125
11-9111.00,3.6107407407407406,0.515,3.6555,0.7184375000000001
11-9121.00,3.9403703703703705,0.87375,3.9884999999999997,1.050625
11-9121.01,3.2222222222222223,0.37375,3.557,0.6953125
11-9121.02,3.388148148148148,1.22,3.6625,0.8196875
11-9131.00,3.0088888888888885,0.86,3.0745,1.035625
11-9141.00,2.93,0.515,3.2495,0.5815625
11-9151.00,3.5737037037037034,0.78,3.7060000000000004,0.8553125
11-9161.00,3.6985185185185183,0.76625,3.849,1.2303125
11-9171.00,2.888148148148148,0.875,3.193,1.33625
11-9179.01,3.064074074074074,0.8875000000000001,3.463,1.7506249999999999
11-9179.02,3.185185185185185,0.9825,3.3950000000000005,1.2190625
11-9199.01,3.1981481481481477,0.1575,3.4675,0.5309375000000001
11-9199.02,3.051111111111111,0.5625,3.4875,0.8015625
11-9199.08,3.264814814814815,1.0325,3.5005,1.5159375
11-9199.09,3.331851851851852,2.23375,3.55,1.9303124999999999
11-9199.10,3.25,1.035,3.5435000000000003,0.9221875
11-9199.11,3.4892592592592595,1.0787499999999999,3.8125,0.8046875
13-1011.00,2.8244444444444445,0.0625,3.2439999999999998,0.5196875
13-1021.00,2.879259259259259,0.96875,3.213,1.0153125
13-1022.00,3.1488888888888886,0.39125,3.3305,0.965
13-1023.00,3.217037037037037,0.48375,3.4189999999999996,0.5034375
13-1031.00,2.89,0.6575,3.594,0.7653125000000001
13-1032.00,2.435925925925926,1.28125,3.092,1.2865625
13-1041.01,3.124814814814815,1.4375,3.8939999999999997,1.743125
13-1041.03,3.07962962962963,0.3425,3.7880000000000003,0.6484375
13-1041.04,3.0414814814814815,1.2337500000000001,3.7314999999999996,1.995625
13-1041.06,2.892962962962963,0.9375,3.6480000000000006,1.8715625
13-1041.07,3.2044444444444444,0.46875,3.6875,0.6296875
13-1041.08,2.8744444444444444,0.20375,3.2625,0.5584375
13-1051.00,3.0966666666666667,0.15625,3.53,0.59375
13-1071.00,2.759259259259259,0.17125,3.281,0.51625
13-1074.00,2.3385185185185184,0.93875,2.65,1.8746875
13-1075.00,3.088148148148148,0.10875,3.62,0.5115625
