onet_code,Title,Job Family,pc1,pc2,xi,r,chi,sector,zone,sector_zone,n_tasks_used,RT_sum_used
11-1011.00,Chief Executives,Management,0.19605232557885774,0.00849202535170758,0.04328803747406977,0.19623615584150766,0.428554446147045,0,Z2,00-Z2,31,2253.62
11-1011.03,Chief Sustainability Officers,Management,0.19380881118848647,0.17413210679082589,0.7319711650522066,0.2605452857176771,0.5689972886910015,4,Z2,04-Z2,18,1737.05
11-1021.00,General and Operations Managers,Management,0.09917462090297484,-0.02784995917507863,6.009418790413957,0.10301080359507113,0.2249623046912035,34,Z1,34-Z1,17,1179.65
11-2011.00,Advertising and Promotions Managers,Management,0.16109980433754412,-0.01569987135875233,6.186037763263066,0.16186300663918352,0.35348792308169696,35,Z2,35-Z2,21,1528.67
11-2021.00,Marketing Managers,Management,0.13077784125566766,0.07537590181105971,0.5228602622859758,0.15094492484785013,0.32964424109043305,2,Z1,02-Z1,20,1460.42
11-2022.00,Sales Managers,Management,0.11538697831224824,-0.044684738965975614,5.9137098702772475,0.12373714341493675,0.2702259567642287,33,Z1,33-Z1,17,1480.95
11-2033.00,Fundraising Managers,Management,0.1989242388780652,-0.012143362186738695,6.22221580559785,0.1992945409649142,0.4352335646664907,35,Z2,35-Z2,16,1312.07
11-3012.00,Administrative Services Managers,Management,0.13484394156636004,-0.050546299588959814,5.92454583752824,0.14400630881766535,0.31449119889445526,33,Z1,33-Z1,8,599.98
11-3013.00,Facilities Managers,Management,0.07066094899317076,-0.021676990171049137,5.98552485495477,0.07391117382027727,0.16141246767088904,34,Z1,34-Z1,11,902.26
11-3013.01,Security Managers,Management,0.1618808906160915,0.09782027602230506,0.5435556012825746,0.18914076543077363,0.41305902893083596,3,Z2,03-Z2,28,2745.0
11-3021.00,Computer and Information Systems Managers,Management,0.13861241260018947,0.053298934776744716,0.36708878927309135,0.14850648933693386,0.3243190125393295,2,Z1,02-Z1,17,1528.4
11-3031.00,Financial Managers,Management,0.1290781675490336,0.00665264281000174,0.051494081126868096,0.12924949127239865,0.28226421328680557,0,Z1,00-Z1,17,979.29
11-3031.01,Treasurers and Controllers,Management,0.1631318485180321,-0.022156346190367066,6.148192677012326,0.16462959538739555,0.35952979596502155,35,Z2,35-Z2,22,1739.83
11-3031.03,Investment Fund Managers,Management,0.1573096268234001,0.09303747495915697,0.5340934561205879,0.18276293507736507,0.3991306703008781,3,Z2,03-Z2,20,1569.01
11-3051.00,Industrial Production Managers,Management,0.02318466007125087,0.08809652702273951,1.3134581371015273,0.09109624874871483,0.19894245411181913,7,Z1,07-Z1,13,1093.75
