onet_code,rle_mean
11-1011.00,7.241300000000001
11-1011.03,7.7037
11-1021.00,3.6732
11-2011.00,5.206999999999999
11-2021.00,6.680499999999999
11-2022.00,5.6666
11-2033.00,5.786299999999999
11-3012.00,3.963203679632036
11-3013.00,4.341765823417658
11-3013.01,6.05
11-3021.00,5.55085508550855
11-3031.00,5.51024897510249
11-3031.01,6.8
11-3031.03,7.407159284071592
11-3051.00,3.811781178117812
11-3051.01,6.0
11-3051.02,4.057005700570057
11-3051.03,4.9751
11-3051.04,5.1278999999999995
11-3051.06,4.165716571657165
11-3061.00,5.316
11-3071.04,6.4286
11-3111.00,6.380999999999999
11-3121.00,6.045395460453954
11-3131.00,6.5
11-9021.00,4.5
11-9031.00,4.1392
11-9032.00,7.6813
11-9033.00,9.2528
11-9041.00,7.43965603439656
11-9041.01,6.482696539307861
11-9051.00,3.0893089308930897
11-9071.00,2.9372000000000003
11-9072.00,5.490350964903509
11-9081.00,4.8898110188981105
11-9111.00,6.250125012501252
11-9121.00,8.534153415341533
11-9121.01,5.287500000000002
11-9121.02,7.0
11-9131.00,3.0267026702670266
11-9141.00,5.35
11-9151.00,6.307330733073306
11-9161.00,5.954404559544045
11-9171.00,4.0245
11-9179.01,6.8074192580741935
11-9179.02,4.2203
11-9199.01,6.434800000000001
11-9199.02,5.653534646535346
11-9199.08,4.954604539546046
11-9199.09,4.7231
11-9199.10,6.088991100889911
11-9199.11,6.409200000000002
13-1011.00,4.699
13-1021.00,5.4675
13-1022.00,3.940199999999999
13-1023.00,5.4
13-1031.00,5.248224822482248
13-1032.00,3.4155
13-1041.01,5.45
13-1041.03,6.143899999999999
13-1041.04,4.682600000000001
13-1041.06,5.45
13-1041.07,6.55
13-1041.08,3.25
13-1051.00,5.818118188181183
13-1071.00,5.767
13-1074.00,1.710628937106289
13-1075.00,6.047614284285286
13-1081.00,5.25022502250225
13-1081.01,6.26097390260974
13-1081.02,5.909218156368727
13-1111.00,6.381038103810382
13-1121.00,4.6675
13-1131.00,6.142799999999999
13-1141.00,5.904790479047905
13-1151.00,5.478052194780521
13-1161.00,6.8261
13-1161.01,4.999900009999001
13-1199.04,5.912708729127087
13-1199.05,6.7391
13-1199.06,4.103389661033898
13-1199.07,5.75
13-2022.00,6.087291270872912
13-2023.00,5.227077292270773
13-2031.00,5.601639836016398
13-2041.00,6.1
13-2052.00,6.2309
13-2053.00,5.3999
13-2061.00,6.173982601739827
13-2071.00,4.0
13-2072.00,5.397599999999999
13-2081.00,4.627037296270372
13-2082.00,3.6190380961903807
13-2099.01,7.45
13-2099.04,6.083100000000001
15-1211.00,5.381838183818381
15-1211.01,7.333333333333331
15-1212.00,5.897499999999999
15-1221.00,8.025799999999998
15-1231.00,5.1009
15-1232.00,5.0099
15-1241.00,5.3
15-1241.01,5.095190480951905
15-1242.00,5.9815999999999985
15-1243.00,6.1906
15-1243.01,5.652034796520349
15-1244.00,5.58054194580542
15-1251.00,5.868700000000001
15-1252.00,5.8725
15-1253.00,5.235423542354236
15-1254.00,4.74992500749925
15-1255.01,4.6
15-1299.01,5.35
15-1299.03,6.1
15-1299.05,4.894799999999998
15-1299.08,4.500149985001499
15-1299.09,5.8572000000000015
15-2011.00,6.535553555355535
15-2021.00,9.7
15-2031.00,7.666900000000001
15-2041.00,7.856985698569858
15-2041.01,8.6251
15-2051.01,6.454554544545545
15-2051.02,6.1
15-2099.01,7.1566
17-1011.00,7.4286
17-1012.00,6.2
17-1021.00,4.8386000000000005
17-1022.00,4.6842999999999995
17-1022.01,5.8519703940788155
17-2011.00,6.590699999999999
17-2021.00,6.65
17-2031.00,7.9127
17-2041.00,6.174
17-2051.00,6.238023802380239
17-2051.01,6.091
17-2051.02,6.695730426957304
17-2061.00,7.034496550344965
17-2071.00,6.036400000000001
17-2072.00,5.919699999999999
17-2072.01,5.8465
17-2081.00,6.571457145714571
17-2111.02,6.269446110777845
17-2112.00,5.6217999999999995
17-2112.01,7.1
17-2112.02,6.05
17-2112.03,5.92
17-2121.00,5.4738999999999995
17-2131.00,8.19031903190319
17-2141.00,5.2356
17-2141.01,6.857200000000001
17-2141.02,6.5238000000000005
17-2151.00,6.207299999999999
17-2161.00,6.381
17-2171.00,6.2691
17-2199.03,6.5003999200159965
17-2199.05,5.458754124587542
17-2199.06,7.901999999999999
17-2199.07,6.9524
17-2199.08,6.500249975002501
17-2199.09,9.714171417141714
17-2199.10,6.442455754424558
17-2199.11,5.074000000000001
17-3012.00,4.802819718028197
17-3013.00,5.067986402719457
17-3021.00,3.7039
17-3022.00,4.2276
17-3024.00,4.458245824582457
17-3024.01,4.5455000000000005
17-3025.00,5.2403759624037605
17-3026.00,4.0062999999999995
17-3026.01,8.6
17-3027.00,4.386861313868613
17-3027.01,5.185418541854185
17-3029.01,2.9094090590940906
17-3029.08,4.227577242275772
19-1011.00,9.2172
19-1012.00,5.772822717728227
19-1013.00,8.000100010000999
19-1021.00,10.05
19-1022.00,6.545745425457453
19-1023.00,6.967696769676968
19-1029.01,9.0763
19-1029.02,9.384661533846614
19-1029.03,9.96
19-1029.04,8.396399999999998
19-1031.00,6.4347565243475655
19-1031.02,6.093590640935907
19-1031.03,5.429557044295571
19-1032.00,5.833116688331168
19-1041.00,9.222100000000001
19-1042.00,9.974799999999998
19-2011.00,10.999900009999
19-2012.00,11.03929607039296
19-2021.00,7.45
19-2031.00,7.7408
19-2032.00,7.19061906190619
19-2041.00,5.7337
19-2041.01,8.347900000000003
19-2041.02,6.9091
19-2041.03,7.782721727827219
19-2042.00,7.7501999999999995
19-2043.00,7.347900000000001
19-2099.01,6.52
19-3011.00,8.5002
19-3011.01,9.25912591259126
19-3022.00,7.23107689231077
19-3032.00,8.576542345765425
19-3033.00,11.24
19-3034.00,8.5386
19-3039.02,11.84
19-3039.03,11.9167
19-3041.00,9.7
19-3051.00,7.28
19-3091.00,8.45
19-3092.00,7.9
19-3093.00,6.9373000000000005
19-3094.00,10.807800000000002
19-3099.01,6.9
19-4012.00,4.474752524747525
19-4012.01,4.8260000000000005
19-4013.00,5.218521852185219
19-4021.00,6.812599999999999
19-4031.00,4.213
19-4042.00,5.454254574542546
19-4051.02,3.9018098190180988
19-4061.00,6.595759575957595
19-4071.00,3.901709829017098
19-4092.00,3.95070492950705
19-4099.01,3.6392999999999995
19-4099.03,5.3631
19-5011.00,6.086991300869913
19-5012.00,5.238223822382238
21-1011.00,5.8912
21-1012.00,6.8036196380361975
21-1013.00,8.375962403759624
21-1014.00,8.142800000000001
21-1015.00,6.154
21-1021.00,6.4615
21-1022.00,7.888888888888888
21-1023.00,7.6648000000000005
21-1091.00,5.386100000000002
21-1092.00,5.8779
21-1093.00,5.5396
21-1094.00,5.726727327267273
21-2011.00,6.476447644764475
21-2021.00,5.370062993700631
23-1011.00,10.771899999999999
23-1012.00,10.156515651565154
23-1021.00,8.414200000000001
23-1022.00,8.0528
23-1023.00,10.831216878312167
23-2011.00,5.5318
23-2093.00,3.0504
25-1011.00,10.082891710828918
25-1021.00,9.0295
25-1022.00,9.3253
25-1031.00,9.165916591659165
25-1032.00,10.600179964007198
25-1041.00,10.6775
25-1042.00,10.945605439456054
25-1043.00,10.767599999999998
25-1051.00,9.4993
25-1052.00,9.8988
25-1053.00,10.7649
25-1054.00,10.4483
25-1061.00,10.09069093090691
25-1062.00,10.019
25-1063.00,10.4778
25-1064.00,10.524199999999999
25-1065.00,10.8962
25-1066.00,10.863913608639136
25-1067.00,10.3052
25-1071.00,8.97910208979102
25-1072.00,9.271799999999999
25-1081.00,10.6852
25-1082.00,10.243724372437246
25-1111.00,7.905190519051905
25-1112.00,9.96970302969703
25-1113.00,10.123012301230123
25-1121.00,8.638263826382637
25-1122.00,8.962796279627964
25-1123.00,9.104210421042104
25-1124.00,10.0278
25-1125.00,10.0892
25-1126.00,10.720772077207721
25-1192.00,9.1935
25-1193.00,10.124
25-1194.00,5.251474852514748
25-2011.00,4.5006500650065
25-2012.00,6.3814
25-2021.00,6.436599999999999
25-2022.00,5.7776
25-2023.00,6.5165999999999995
25-2031.00,6.341065893410658
25-2032.00,5.754224577542245
25-2051.00,7.0575
25-2056.00,6.343965603439656
25-2057.00,6.353599999999999
25-2058.00,6.998200000000001
25-2059.01,6.9047
25-3011.00,5.934106589341066
25-3021.00,5.5111511151115105
25-3031.00,5.136813681368137
25-3041.00,4.909299999999999
25-4011.00,7.903199999999999
25-4012.00,8.744674467446744
25-4013.00,6.266726672667266
25-4022.00,7.157984201579842
25-4031.00,4.4704529547045295
25-9021.00,7.333666733346668
25-9031.00,7.698930106989302
25-9042.00,4.185481451854814
25-9043.00,4.5778
25-9044.00,6.908190819081907
27-1011.00,5.633663366336633
27-1012.00,3.0001999800019994
27-1013.00,4.168799999999999
27-1014.00,4.9737
27-1021.00,5.3921
27-1022.00,5.3621637836216385
27-1023.00,2.64
27-1024.00,5.45
27-1025.00,6.12
27-1026.00,3.6234
27-1027.00,7.142828565713144
27-2011.00,3.51974802519748
27-2012.00,4.853614638536145
27-2012.03,4.4344
27-2012.04,6.144814481448146
27-2012.05,5.7741999999999996
27-2021.00,3.0109999999999997
27-2022.00,5.766876687668766
27-2023.00,2.9999000000000002
27-2031.00,1.9385061493850615
27-2032.00,3.5238523852385244
27-2041.00,7.064906490649065
27-2042.00,5.38933893389339
27-3011.00,4.3995999999999995
27-3031.00,6.181800000000001
27-3041.00,6.3914
27-3042.00,5.306469353064694
27-3043.00,5.1158
27-3043.05,4.9544
27-3091.00,6.265200000000001
27-3092.00,3.4297570242975706
27-4011.00,4.265226522652265
27-4012.00,4.0311
27-4014.00,4.12
27-4021.00,3.7730226977302275
27-4031.00,4.3886
27-4032.00,5.1685
29-1011.00,10.0625
29-1021.00,9.9878
29-1022.00,11.642400000000002
29-1023.00,10.73132686731327
29-1024.00,11.3775
29-1031.00,7.166716671667167
29-1041.00,10.952399999999997
29-1051.00,10.286000000000001
29-1071.00,8.162
29-1071.01,6.03020302030203
29-1081.00,11.123299999999999
29-1122.00,7.7272
29-1122.01,7.478300000000001
29-1123.00,9.0599
29-1124.00,5.1635
29-1125.00,6.1081
29-1126.00,5.0221
29-1127.00,8.1148
