soc2018,year,wage_hourly,wage_source,tot_emp,n_soc2000,one_to_one
11-1011,1999,52.07999999999997,H_MEDIAN,597060.0,1,True
11-1021,1999,27.230000000000004,H_MEDIAN,2305610.0,1,True
11-1031,1999,6.499999999999998,H_MEDIAN,49330.0,1,True
11-2011,1999,24.3,H_MEDIAN,100600.0,1,True
11-2021,1999,32.18,H_MEDIAN,202710.0,1,True
11-2022,1999,30.59,H_MEDIAN,367640.0,1,True
11-2032,1999,24.77,H_MEDIAN,67210.0,1,False
11-2033,1999,24.77,H_MEDIAN,67210.0,1,False
11-3012,1999,20.780000000000012,H_MEDIAN,363530.0,1,False
11-3013,1999,20.780000000000012,H_MEDIAN,363530.0,1,False
11-3021,1999,34.97,H_MEDIAN,280820.0,1,True
11-3031,1999,30.619999999999997,H_MEDIAN,646050.0,1,True
11-3051,1999,28.639999999999997,H_MEDIAN,213510.0,1,True
11-3061,1999,22.31,H_MEDIAN,137950.0,1,True
11-3071,1999,24.510000000000012,H_MEDIAN,123450.0,1,True
11-9013,1999,17.939999999999998,H_MEDIAN,5450.0,1,False
11-9021,1999,26.749999999999996,H_MEDIAN,240490.0,1,True
11-9031,1999,15.81,H_MEDIAN,35380.0,1,True
11-9032,1999,30.923076923076923,A_MEDIAN,186220.0,1,True
11-9033,1999,26.520000000000003,H_MEDIAN,95690.0,1,True
11-9041,1999,38.519999999999996,H_MEDIAN,248210.0,1,True
11-9051,1999,14.920000000000002,H_MEDIAN,287940.0,1,True
11-9071,1999,22.51,H_MEDIAN,4590.0,1,True
11-9081,1999,14.489999999999998,H_MEDIAN,28170.0,1,True
11-9111,1999,25.82,H_MEDIAN,230640.0,1,True
11-9121,1999,33.75,H_MEDIAN,36920.0,1,True
11-9131,1999,21.160000000000004,H_MEDIAN,26930.0,1,True
11-9141,1999,16.73,H_MEDIAN,143040.0,1,True
11-9151,1999,17.74,H_MEDIAN,88340.0,1,True
11-9161,1999,17.83999999999999,H_MEDIAN,11390.0,1,True
11-9171,1999,17.749999999999996,H_MEDIAN,23740.0,1,False
13-1011,1999,24.999999999999996,H_MEDIAN,7280.0,1,True
13-1021,1999,16.94,H_MEDIAN,21550.0,1,True
13-1022,1999,16.520000000000003,H_MEDIAN,133070.0,1,True
13-1023,1999,19.01,H_MEDIAN,224110.0,1,True
13-1031,1999,18.690000000000005,H_MEDIAN,154770.0,1,True
13-1032,1999,19.220000000000002,H_MEDIAN,19310.0,1,True
13-1041,1999,18.559999999999995,H_MEDIAN,123280.0,1,False
13-1051,1999,20.36,H_MEDIAN,201500.0,1,True
13-1071,1999,16.520000000000003,H_MEDIAN,181710.0,1,False
13-1074,1999,6.71,H_MEDIAN,11260.0,1,True
13-1111,1999,25.91,H_MEDIAN,300600.0,1,True
13-1121,1999,17.318303238672495,H_MEDIAN,151100.0,2,False
13-1141,1999,18.979999999999997,H_MEDIAN,78310.0,1,True
13-1151,1999,18.54,H_MEDIAN,186940.0,1,True
13-1161,1999,19.387325604581893,H_MEDIAN,185950.0,2,False
13-2011,1999,19.159999999999997,H_MEDIAN,843160.0,1,True
13-2022,1999,18.12,H_MEDIAN,52520.0,1,False
13-2023,1999,18.12,H_MEDIAN,52520.0,1,False
13-2031,1999,22.41,H_MEDIAN,61740.0,1,True
13-2041,1999,17.96,H_MEDIAN,61580.0,1,True
13-2051,1999,23.649999999999995,H_MEDIAN,142820.0,1,False
13-2052,1999,25.26,H_MEDIAN,79970.0,1,True
13-2053,1999,19.68999999999999,H_MEDIAN,93970.0,1,True
13-2054,1999,23.649999999999995,H_MEDIAN,142820.0,1,False
13-2061,1999,24.63,H_MEDIAN,27630.0,1,True
13-2071,1999,14.950000000000001,H_MEDIAN,22320.0,1,True
13-2072,1999,18.72000000000001,H_MEDIAN,200180.0,1,True
13-2081,1999,17.749999999999996,H_MEDIAN,64960.0,1,True
13-2082,1999,13.039999999999997,H_MEDIAN,58100.0,1,True
15-1211,1999,26.910000000000018,H_MEDIAN,428210.0,1,False
15-1212,1999,25.239999999999995,H_MEDIAN,98330.0,1,False
15-1221,1999,31.379999999999995,H_MEDIAN,26280.0,1,True
15-1231,1999,25.239999999999995,H_MEDIAN,98330.0,1,False
15-1232,1999,17.540000000000003,H_MEDIAN,462840.0,1,True
15-1241,1999,26.589953142085484,H_MEDIAN,526540.0,2,False
15-1242,1999,23.830000000000013,H_MEDIAN,101460.0,1,False
15-1243,1999,23.830000000000013,H_MEDIAN,101460.0,1,False
15-1244,1999,23.690289795773083,H_MEDIAN,303010.0,2,False
15-1251,1999,24.549999999999997,H_MEDIAN,528600.0,1,True
15-1252,1999,30.709433818592075,H_MEDIAN,496630.0,2,False
15-1253,1999,30.709433818592075,H_MEDIAN,496630.0,2,False
15-1254,1999,25.239999999999995,H_MEDIAN,98330.0,1,False
15-1255,1999,25.239999999999995,H_MEDIAN,98330.0,1,False
15-1299,1999,12.700000000000001,H_MEDIAN,198500.0,1,False
15-2011,1999,31.879999999999995,H_MEDIAN,12560.0,1,True
15-2021,1999,32.85999999999999,H_MEDIAN,3450.0,1,True
15-2031,1999,23.349999999999998,H_MEDIAN,43760.0,1,True
15-2041,1999,22.65000000000001,H_MEDIAN,14620.0,1,True
15-2099,1999,17.44,H_MEDIAN,1560.0,1,False
17-1011,1999,23.669999999999998,H_MEDIAN,71040.0,1,True
17-1012,1999,19.240000000000002,H_MEDIAN,13870.0,1,True
17-1021,1999,19.200000000000003,H_MEDIAN,6150.0,1,True
17-1022,1999,16.610000000000003,H_MEDIAN,50150.0,1,True
17-2011,1999,31.349999999999998,H_MEDIAN,71790.0,1,True
17-2021,1999,26.25,H_MEDIAN,2260.0,1,True
17-2031,1999,24.359999999999996,H_MEDIAN,6450.0,1,True
17-2041,1999,31.839999999999993,H_MEDIAN,28630.0,1,True
17-2051,1999,25.830000000000002,H_MEDIAN,209100.0,1,True
17-2061,1999,31.119999999999994,H_MEDIAN,60420.0,1,True
17-2071,1999,29.15,H_MEDIAN,149210.0,1,True
17-2072,1999,29.959999999999997,H_MEDIAN,106830.0,1,True
17-2081,1999,26.389999999999997,H_MEDIAN,51450.0,1,True
17-2111,1999,25.160000000000004,H_MEDIAN,40470.0,1,True
17-2112,1999,26.809999999999995,H_MEDIAN,155910.0,1,True
17-2121,1999,27.89,H_MEDIAN,4450.0,1,True
17-2131,1999,28.29,H_MEDIAN,21730.0,1,True
17-2141,1999,26.85000000000001,H_MEDIAN,202910.0,1,True
17-2151,1999,28.029999999999998,H_MEDIAN,7160.0,1,True
