onet_code,task_id,phi
11-1011.00,8823,0.5
11-1011.00,8831,0.0
11-1011.00,8825,0.5
11-1011.00,8826,0.5
11-1011.00,8827,0.5
11-1011.00,8824,0.0
11-1011.00,8836,0.5
11-1011.00,8832,0.5
11-1011.00,8835,0.5
11-1011.00,8833,0.0
11-1011.00,8829,0.5
11-1011.00,8837,0.5
11-1011.00,8830,1.0
11-1011.00,8839,1.0
11-1011.00,8843,0.5
11-1011.00,8834,0.5
11-1011.00,20461,0.5
11-1011.00,8846,0.5
11-1011.00,8848,0.5
11-1011.00,8828,0.5
11-1011.00,8844,0.5
11-1011.00,8845,0.0
11-1011.00,8847,0.5
11-1011.00,8851,0.5
11-1011.00,8838,0.5
11-1011.00,8853,0.5
11-1011.00,8840,0.5
11-1011.00,8849,0.0
11-1011.00,8852,0.0
11-1011.00,8850,0.5
11-1011.00,8842,1.0
11-1011.03,15382,0.5
11-1011.03,15384,0.5
11-1011.03,15379,0.5
11-1011.03,15372,0.0
11-1011.03,15378,0.5
11-1011.03,15380,0.5
11-1011.03,15368,0.5
11-1011.03,15370,1.0
11-1011.03,15375,0.5
11-1011.03,15376,0.5
11-1011.03,15383,0.5
11-1011.03,15377,0.5
11-1011.03,15381,0.5
11-1011.03,15374,0.5
11-1011.03,15373,1.0
11-1011.03,15371,1.0
11-1011.03,15367,0.5
11-1011.03,15369,0.5
11-1021.00,20699,0.5
11-1021.00,933,0.5
11-1021.00,20700,0.5
11-1021.00,20701,0.5
11-1021.00,20702,0.5
11-1021.00,20703,0.5
11-1021.00,20704,0.5
11-1021.00,20705,0.5
11-1021.00,20706,0.5
11-1021.00,20707,0.5
11-1021.00,20708,0.5
11-1021.00,944,0.0
11-1021.00,945,0.5
11-1021.00,948,0.5
11-1021.00,19501,0.5
11-1021.00,947,0.5
11-1021.00,949,0.5
11-1031.00,15267,0.5
11-1031.00,15268,0.0
11-1031.00,15269,0.5
11-1031.00,15270,0.0
11-1031.00,15271,0.5
11-1031.00,15272,0.0
11-1031.00,15273,0.5
11-1031.00,15274,0.5
11-1031.00,15275,0.5
11-1031.00,15276,0.5
11-1031.00,15277,0.5
11-1031.00,15278,0.5
11-1031.00,15279,0.5
11-1031.00,15280,0.5
11-1031.00,15281,0.5
11-1031.00,15282,0.5
11-1031.00,15283,0.0
11-1031.00,15284,1.0
11-1031.00,15285,0.5
11-1031.00,15286,0.0
11-1031.00,15287,0.5
11-1031.00,15288,0.5
11-1031.00,15289,0.5
11-1031.00,15290,0.5
11-1031.00,15291,0.5
11-1031.00,15292,0.5
11-1031.00,15293,0.5
11-1031.00,15294,0.5
11-1031.00,15295,0.0
11-1031.00,15296,0.0
11-2011.00,3224,0.5
11-2011.00,3226,0.5
11-2011.00,3231,0.5
11-2011.00,3242,0.5
11-2011.00,3227,0.5
