onet_code,Task ID,Task,Task Type,is_core,rt,rle_mean,Title,Job Family,pc1,pc2,xi,r,chi,sector,zone,sector_zone
11-1011.00,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,True,74.44,7.2413,Chief Executives,Management,0.1263960806255005,-0.048421141221049374,5.917340506359698,0.13535352272710463,0.2955946304472825,33,Z1,33-Z1
11-1011.00,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,True,81.71,7.2413,Chief Executives,Management,0.27079183263744744,-0.04411130910351905,6.121706165897904,0.2743611200844127,0.5991692884415354,35,Z2,35-Z2
11-1011.00,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,True,93.41,7.2413,Chief Executives,Management,0.1555322639069771,0.027882277124907713,0.1773858089872405,0.1580117289750977,0.345077229551684,1,Z2,01-Z2
11-1011.00,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,True,97.79,7.2413,Chief Executives,Management,0.1595919106549706,0.03692579285648679,0.22737518804123816,0.16380809541834096,0.3577357460217871,1,Z2,01-Z2
11-1011.00,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,True,92.92,7.2413,Chief Executives,Management,0.24103621918840132,0.064431342621632,0.26120272766427777,0.24949921216842585,0.5448740892138255,1,Z2,01-Z2
11-1011.00,8836,Implement corrective action plans to solve organizational or departmental problems.,Core,True,88.43,7.2413,Chief Executives,Management,0.14495356513802837,0.12810084894050164,0.723757093802515,0.19344602230467767,0.4224611544831061,4,Z2,04-Z2
11-1011.00,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,True,98.57,7.2413,Chief Executives,Management,0.12192022348159404,0.2584492802428332,1.130013241804278,0.2857631385463149,0.6240698256842514,6,Z2,06-Z2
11-1011.00,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Core,True,70.43,7.2413,Chief Executives,Management,0.062059141731205296,-0.06770613634641433,5.4542975900395145,0.09184474928580878,0.20057708271397204,31,Z1,31-Z1
11-1011.00,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,True,75.74,7.2413,Chief Executives,Management,0.1917709166424042,-0.046573050149742376,6.044939991338698,0.19734521395290627,0.43097648597266813,34,Z2,34-Z2
11-1011.00,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,True,93.14,7.2413,Chief Executives,Management,0.1527814762767842,-0.12262229082852517,5.606861494383223,0.1959040727023024,0.4278292194160861,32,Z2,32-Z2
11-1011.00,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,True,96.73,7.2413,Chief Executives,Management,0.2635838870724576,0.07653191649640899,0.2825814119172894,0.2744696700308422,0.5994063475195218,1,Z2,01-Z2
11-1011.00,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,True,96.42,7.2413,Chief Executives,Management,0.18216840515881116,0.1326652897596984,0.6294392989544706,0.22535617796086602,0.49214881741688654,3,Z2,03-Z2
11-1011.00,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,True,80.19,7.2413,Chief Executives,Management,0.150411560384794,-0.008597603274091254,6.226086917641625,0.15065708174343215,0.3290156288876404,35,Z1,35-Z1
11-1011.00,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,True,87.04,7.2413,Chief Executives,Management,0.24794316812459138,-0.03164181288070904,6.156254212732105,0.24995403365826524,0.5458673606669787,35,Z2,35-Z2
11-1011.00,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,True,92.7,7.2413,Chief Executives,Management,0.2533160218958928,-0.09546697770064114,5.922776993750038,0.2707082392178989,0.5911918679204449,33,Z2,33-Z2
11-1011.00,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",Core,True,68.36,7.2413,Chief Executives,Management,0.28616459231619484,-0.11877339608766453,5.889770161241929,0.3098343000923094,0.6766381368612773,33,Z3,33-Z3
11-1011.00,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,True,72.17,7.2413,Chief Executives,Management,0.1490779719272991,0.06580735528347206,0.4157035475867253,0.16295658846257705,0.35587616469105365,2,Z2,02-Z2
11-1011.00,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,True,74.11,7.2413,Chief Executives,Management,0.26616659383047503,-0.0916757013292091,5.9514814146762856,0.28151214873521785,0.6147862123956644,34,Z2,34-Z2
11-1011.00,8849,Attend and participate in meetings of municipal councils or council committees.,Core,True,69.01,7.2413,Chief Executives,Management,0.25672033472081357,-0.07739311930006212,5.990381720585092,0.26813247691050074,0.5855667353636035,34,Z2,34-Z2
11-1011.00,8850,Organize or approve promotional campaigns.,Core,True,82.46,7.2413,Chief Executives,Management,0.21823668129790993,-0.052508738280245,6.047068781438227,0.22446473366591194,0.4902020180900411,34,Z2,34-Z2
11-1011.00,8842,Nominate citizens to boards or commissions.,Supplemental,False,27.05,7.2413,Chief Executives,Management,0.15664902220432725,-0.12989080460724103,5.590901040529777,0.20349579179700075,0.4444085544421966,32,Z2,32-Z2
11-1011.00,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",Supplemental,False,56.65,7.2413,Chief Executives,Management,0.1781095914909061,0.1495616075366953,0.6984937317065996,0.23257622627865027,0.5079164714188432,4,Z2,04-Z2
11-1011.00,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,False,27.31,7.2413,Chief Executives,Management,0.1189280560417381,-0.060348847291259826,5.813603464986404,0.13336366027989258,0.2912490275928192,33,Z1,33-Z1
11-1011.00,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",Supplemental,False,52.57,7.2413,Chief Executives,Management,0.17045772399071527,-0.038569233082066834,6.060663707594744,0.17476676288308846,0.38166806188746066,34,Z2,34-Z2
11-1011.00,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,False,47.82,7.2413,Chief Executives,Management,0.28830901543225773,0.02201079428435731,0.07619664633808708,0.28914799574706745,0.6314619170994895,0,Z2,00-Z2
11-1011.00,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Supplemental,False,62.05,7.2413,Chief Executives,Management,0.2736345938227744,0.17072234749073942,0.5578124491549128,0.32252443453063134,0.7043517532049393,3,Z3,03-Z3
11-1011.00,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,False,56.74,7.2413,Chief Executives,Management,0.12997122233762118,-0.13723345507783008,5.4706152938573585,0.18901200974682578,0.4127778431290354,31,Z2,31-Z2
11-1011.00,8845,Refer major policy matters to elected representatives for final decisions.,Supplemental,False,57.44,7.2413,Chief Executives,Management,0.17847605486069312,-0.04129313920580937,6.0558207445580425,0.18319068072395903,0.400064811605684,34,Z2,34-Z2
11-1011.00,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,Supplemental,False,58.3,7.2413,Chief Executives,Management,0.30155434957791805,0.20241270955609922,0.5911560607377332,0.36318856085951134,0.7931569586585233,3,Z3,03-Z3
11-1011.00,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Supplemental,False,58.06,7.2413,Chief Executives,Management,0.09208080672512382,0.05241004625134913,0.5174452341010064,0.10595134692498329,0.2313840719374988,2,Z1,02-Z1
11-1011.00,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",Supplemental,False,63.86,7.2413,Chief Executives,Management,0.25052755881356004,-0.1350259593730114,5.788852566431556,0.28459808050948604,0.6215254892465482,33,Z2,33-Z2
