t,A_K,U_tot_theta1,U_tot_theta3,U_tot_theta8,U_tot_theta15
0.000000000000000000e+00,3.028677897373397918e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.781421247110836048e-02,4.517338722024450558e-07,9.303632084885618983e-07,2.679254488634815183e-06,5.497755350374746153e-06
4.000000000000000222e-01,4.705882878784865136e-02,5.782361005936998650e-06,7.758473114037534580e-06,1.152552602628916793e-05,1.541605129215050548e-05
6.000000000000000888e-01,5.833034416374889564e-02,2.058415814785500703e-06,7.239996239966931038e-06,1.632099148410445623e-05,2.494530279903647783e-05
8.000000000000000444e-01,7.195231333225382553e-02,2.415871087704270063e-06,1.125761005347890687e-05,2.687754570423202640e-05,4.244384033531102074e-05
1.000000000000000000e+00,8.824024769209595775e-02,3.513511752086560596e-06,2.090213846682166489e-05,4.787435515824352918e-05,7.859130596135378019e-05
1.200000000000000178e+00,1.074693930827611277e-01,5.403707701256426854e-06,3.936608504846871064e-05,8.805957317845411339e-05,1.511056361238896043e-04
1.400000000000000133e+00,1.298324055744158045e-01,8.727382830704474175e-06,7.407447969562069140e-05,1.750942059592290969e-04,2.913774168903010336e-04
1.600000000000000089e+00,1.553901789452262483e-01,1.758897798663885178e-05,1.460233352106251616e-04,3.503238471841060029e-04,5.651996575137530326e-04
1.800000000000000044e+00,1.840231417958557991e-01,4.026743416570372706e-05,2.878914682929148883e-04,6.926727397431802023e-04,1.084299288393353843e-03
2.000000000000000000e+00,2.153943265733077594e-01,8.943928887682803914e-05,5.798977022335608054e-04,1.332235230504020358e-03,2.018837096624143904e-03
2.200000000000000178e+00,2.489373744675300593e-01,1.631290502769370762e-04,1.092912140869855197e-03,2.440496074118263074e-03,3.613595441214975841e-03
2.400000000000000355e+00,2.838801342093141278e-01,2.500562197535813455e-04,1.869881321802139727e-03,4.151647267996425028e-03,6.074378864712931536e-03
2.600000000000000089e+00,3.193067011248092446e-01,3.063554967206765433e-04,2.861528115174429357e-03,6.485086670955802352e-03,9.494550336937345250e-03
2.800000000000000266e+00,3.542494608665933686e-01,2.736476878945683111e-04,3.812842259489270663e-03,9.150558861074711142e-03,1.354473603189084406e-02
3.000000000000000000e+00,3.877925087608155574e-01,1.438821631856476550e-04,4.357696748672097720e-03,1.161848405367211200e-02,1.767363310057386283e-02
3.200000000000000178e+00,4.191636935382674900e-01,6.245290123809338128e-05,4.228720325504267685e-03,1.332173346525744942e-02,2.119184129362515490e-02
3.400000000000000355e+00,4.477966563888971518e-01,3.002455112661683270e-05,3.443682073307516300e-03,1.387590553660175523e-02,2.356609637558391632e-02
3.600000000000000089e+00,4.733544297597075401e-01,5.244333514710766673e-06,2.356558302925759914e-03,1.322035591321328932e-02,2.455847356775206491e-02
3.800000000000000266e+00,4.957174422513622725e-01,-1.880574109217187599e-19,1.349512187945654026e-03,1.158811847992229603e-02,2.419155147048154125e-02
4.000000000000000000e+00,5.149465876420273869e-01,-3.299554158856721617e-20,6.275186360918529960e-04,9.377888544570396612e-03,2.267224038257056179e-02
4.200000000000000178e+00,5.312345220018694913e-01,4.064849083974974386e-20,2.398336733659353365e-04,7.003196264109225536e-03,2.029874174730991049e-02
4.400000000000000355e+00,5.448564911703743796e-01,4.807383865624726100e-20,7.625070416338272411e-05,4.804235314411533717e-03,1.739637881760624366e-02
4.600000000000000533e+00,5.561280065462747002e-01,-1.044925954913275079e-20,1.987957229923934080e-05,2.980314606122450374e-03,1.428068923395475580e-02
4.800000000000000711e+00,5.653726228630150397e-01,2.796879405483532537e-21,7.054334549565410820e-06,1.636664361131988593e-03,1.122449288995968839e-02
5.000000000000000000e+00,5.729000563603894314e-01,2.796879405483532537e-21,1.469300960754609314e-06,7.567104439732638167e-04,8.411149301602489220e-03
5.200000000000000178e+00,5.789931735889434217e-01,2.796879405483532537e-21,2.313500082775694220e-21,2.687139203297706858e-04,5.979652756059790526e-03
5.400000000000000355e+00,5.839017366365784056e-01,2.796879405483532537e-21,-3.695835590696196258e-23,7.650901153165732475e-05,4.009336972898593782e-03
5.600000000000000533e+00,5.878408148555437363e-01,2.796879405483532537e-21,-3.695835590696196258e-23,1.767376393895916183e-05,2.506835914493157208e-03
5.800000000000000711e+00,5.909921200546778275e-01,2.796879405483532537e-21,-3.695835590696196258e-23,1.880091772210310676e-06,1.435356231860681090e-03
6.000000000000000000e+00,5.935069607760148358e-01,2.796879405483532537e-21,-3.695835590696196258e-23,1.645059882910363255e-07,7.475731876048139195e-04
6.200000000000000178e+00,5.955099182594136842e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,3.528493493395921075e-04
6.400000000000000355e+00,5.971026728554431617e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,1.225602252598184943e-04
6.600000000000000533e+00,5.983676477606829636e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,2.839151652301304419e-05
6.800000000000000711e+00,5.993712988848077794e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,6.012410752319568019e-06
7.000000000000000000e+00,6.001669830381876070e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,3.585116321080093716e-14
7.200000000000000178e+00,6.007973983418238850e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,1.457877512512835862e-14
7.400000000000000355e+00,6.012966245206081695e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,1.019604576152198767e-14
7.600000000000000533e+00,6.016918066921022046e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,7.372661901318536659e-15
7.800000000000000711e+00,6.020045314576722983e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,5.537620550591568510e-15
8.000000000000000000e+00,6.022519432102871884e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
8.200000000000001066e+00,6.024476445568847094e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
8.400000000000000355e+00,6.026024194144103951e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
8.599999999999999645e+00,6.027248117183197085e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
8.800000000000000711e+00,6.028215873407128944e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
9.000000000000000000e+00,6.028981020191895857e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
