source,target
A_K,a_grid
A_K,a_task
A_final,A_of
A_of,A_K
A_scale,A_of
BETA,W
BETA,nb1
D_o,GammaD
Dyn,dyn
ESTAR,gap
GAMMA,sdot
GammaD,GammaD_prev
GammaD,dGamma
GammaD_prev,dGamma
L0,dyn
L0,self.L
L0,self.original
L0.copy,self.L
M,Mp
M,Wm
M,capo
M.sum,capo
M0,q_new
M0,self.mu
Mp,capo
Mp.sum,capo
Mtot,q_new
Mtot,self.mu
NMIN,nb1
NMIN,neff
P.sum,P
Path,REPO
Path.resolve,REPO
Path.resolve.parents,REPO
R,Rg
R,Rt
REPO,_ispec
Rg,a_grid
Rt,a_task
TAU,a_grid
TAU,a_task
T_max,ts
T_shock,A_of
T_shock,k_shock
Tgt,dyn.L
Um,P
Um,Z
Um,m
Um.max,Um
Um.max,m
W,Tgt
W,Um
W_new_prosp,w_new
Wb,Wsum
Wb,t_o
Wb.sum,Wsum
Wm,Wms
Wm,share
Wm.sum,Wms
Wms,share
Wsum,claim
Z,T_new
__file__,REPO
_iface,layer
_iface.load_static_layer,layer
_ispec,_iface
a,Um
a_grid,eq.a_grid
a_grid,surv
a_task,D_o
a_task,strip_wD
absorbed,absorbed_tot
absorbed,dyn.B
absorbed,dyn.U
absorbed.sum,absorbed_tot
al,Um
alpha,Tgt
alpha,a
alpha,al
anchored,alpha
astype,gap
avail,claim
avail,t_o
bound,self.Sq
bound,self.Sx
bound,self.Sy
c,Tgt
c,Um
c,w_new
ca_lambda,h_grid
ca_lambda,h_task
cap,keys
cap,self._cap
cap,self.qk_grid
cap.q,self.qk_grid
cap.v_gate,keys
cap.v_gate.keys,keys
cap_exponent,Mp
capo,f
claim,t_o
d,Um
d,e_new
d,loc_new
d,self.LOC
dGamma,sdot
d_all,Um
des,absorbed_tot
des,dyn.reinst
des,f
dj,w_new
dt,capo
dt,dGamma
dt,dyn.L
dt,dyn.U
dt,f_glob
dt,ts
dyn,GammaD
dyn,M
dyn,T_new
dyn,Tgt
dyn,W
dyn,W_new_prosp
dyn,Wb
dyn,Wm
dyn,a
dyn,al
dyn,avail
dyn,carry
dyn,d
dyn,d_all
dyn,dj
dyn,dyn.B
dyn,dyn.L
dyn,dyn.U
dyn,dyn.grain
dyn,dyn.reinst
dyn,emp_new
dyn,f
dyn,fit_best
dyn,local
dyn,n
dyn,potential
dyn,pv
dyn.B,W_new_prosp
dyn.B,potential
dyn.FIT,Wb
dyn.FIT,Wm
dyn.FIT,fit_best
dyn.FIT.max,fit_best
dyn.L,GammaD
dyn.L,T_new
dyn.L,emp_new
dyn.Pi,potential
dyn.U,W_new_prosp
dyn.U,avail
dyn.U,potential
dyn.area,W_new_prosp
dyn.area,avail
dyn.area,carry
dyn.area,dyn.B
dyn.area,dyn.U
dyn.area,dyn.grain
dyn.density,W
dyn.density,n
dyn.distances,d
dyn.distances,d_all
dyn.grain.get,dyn.grain
dyn.gx,dj
dyn.gx,local
dyn.gy,dj
dyn.gy,local
dyn.mu,dj
dyn.n0,GammaD
dyn.n0,T_new
dyn.n0,d_all
dyn.n0,dj
dyn.n0,emp_new
dyn.n_occ,a
dyn.n_occ,al
dyn.n_occ,emp_new
dyn.n_occ,f
dyn.ncell,dyn.grain
dyn.original,M
dyn.place_value,pv
dyn.reinst,M
dyn.values,W
e_new,self.E
e_new,self.FIT
ell,dyn
ell,self.ell
eq,D_o
eq,GammaD
eq,a_grid
eq,a_task
eq,dyn
eq,sdot
eq,self.Pi
eq,self.Sq
eq,self.Sx
eq,self.Sy
eq,self.area
eq,self.b_w
eq,self.cell_of
eq,self.eq
eq,self.mu
eq,self.n0
eq,self.ncell
eq,self.reinst
eq,self.row_of
eq,self.sw
eq.area,self.area
eq.area,self.ncell
eq.area.size,self.ncell
eq.b_w,D_o
eq.b_w,self.b_w
eq.b_w,self.sw
eq.cell_of,self.cell_of
eq.g_hat,sdot
eq.mu,self.mu
eq.mu.copy,self.mu
eq.n_occ,D_o
eq.n_occ,self.Sq
eq.n_occ,self.Sx
eq.n_occ,self.Sy
eq.n_occ,self.n0
eq.n_occ,self.reinst
eq.n_occ,self.sw
eq.pi_cell,a_grid
eq.pi_cell,self.Pi
eq.pi_task,a_task
eq.row_of,D_o
eq.row_of,self.row_of
eq.row_of,self.sw
f,absorbed
f,absorbed_tot
f,dyn.grain
f,dyn.reinst
f_glob,absorbed
f_glob,dyn.reinst
f_glob,f
fit_best,gap
float,GammaD
float,T_new
float,W
float,W_new_prosp
float,absorbed_tot
float,carry
float,emp_new
float,gap
g,W
g0_grid,a_grid
g0_grid,h_grid
g0_task,a_grid
g0_task,a_task
g0_task,h_task
gap,W_new_prosp
gap,potential
grid,self.qk_grid
grid.chi,self.qk_grid
grid.xi,self.qk_grid
h_grid,Rg
h_grid,a_grid
h_task,Rt
h_task,a_grid
importlib,_iface
importlib,_ispec
importlib.util,_iface
importlib.util,_ispec
importlib.util.module_from_spec,_iface
importlib.util.spec_from_file_location,_ispec
inp,cap
inp,dyn
inp,grid
inp,self.gx
inp,self.gy
inp,self.inp
inp,self.q_levels
inp.cap,cap
inp.cap,grid
inp.grid,cap
inp.grid,grid
inp.grid,self.gx
inp.grid,self.gy
inp.grid.chi,self.gx
inp.grid.chi,self.gy
inp.grid.xi,self.gx
inp.grid.xi,self.gy
inp.occ,self.q_levels
inp.occ.to_numpy,self.q_levels
inp.occ.to_numpy.copy,self.q_levels
int,j
iter,n
j,dj
j,local
k,oc
k,over
k,q_new
k,qk
k,rec
k,self.Sq
k,self.q0
k,self.q_levels
k,self.qk_grid
k,under
k_shock,A_of
kappa,Tgt
kappa,Um
kappa,w_new
keys,self.Sq
keys,self._keys
keys,self.q_levels
keys,self.qk_grid
lam_over,dyn
lam_over,self.lam_over
layer,L0
layer,alpha
layer,c
layer,ell
layer,eq
layer,g0_grid
layer,g0_task
layer,inp
layer,kappa
layer,occ
layer,tech
layer.L0,L0
layer.L0,inp
layer.L0,occ
layer.alpha,alpha
layer.c,c
layer.c,kappa
layer.ell,ell
layer.ell,tech
layer.eq,eq
layer.g0_grid,g0_grid
layer.g0_grid,g0_task
layer.g0_task,g0_grid
layer.g0_task,g0_task
layer.inp,L0
layer.inp,inp
layer.inp,occ
layer.kappa,c
layer.kappa,kappa
layer.occ,L0
layer.occ,inp
layer.occ,occ
layer.tech,ell
layer.tech,tech
list,keys
loc_new,self.FIT
loc_new,self.LOC
local,W_new_prosp
local,carry
m,Z
m,w_new
main,dyn
main,occ
main,rec
match_beta,Wb
max,dGamma
min,f_glob
mu_new,d
mu_new,self.mu
n,W
n,nb1
n,neff
n,pv
n,under
n0,M0
n0,Mtot
n0,d
n0,q_new
n0,self.FIT
n0,self.mu
nb1,W
neff,nb1
next,n
next.size,n
np.append,self.L
np.append,self.original
np.append,self.reinst
np.arange,ts
np.argmax,j
np.bincount,D_o
np.bincount,W
np.bincount,self.sw
np.cos,self.gx
np.exp,A_of
np.exp,P
np.exp,Z
np.exp,a_grid
np.exp,a_task
np.exp,e_new
np.exp,h_grid
np.exp,h_task
np.exp,loc_new
np.exp,local
np.exp,self.LOC
np.exp,w_new
np.exp.sum,Z
np.full,f
np.hypot,d
np.hypot,dj
np.hypot,local
np.maximum,nb1
np.maximum,neff
np.maximum,over
np.maximum,under
np.minimum,f
np.ones_like,surv
np.sin,self.gy
np.sqrt,d
np.sum,GammaD
np.sum,T_new
np.sum,W
np.sum,W_new_prosp
np.sum,carry
np.sum,emp_new
np.vstack,self.E
np.vstack,self.FIT
np.vstack,self.LOC
np.vstack,self.mu
np.where,claim
np.where,f
np.where,share
np.zeros,W
np.zeros,a
np.zeros,al
np.zeros,dyn.grain
np.zeros,self.B
np.zeros,self.Sq
np.zeros,self.Sx
np.zeros,self.Sy
np.zeros,self.U
np.zeros,self.reinst
np.zeros,under
np.zeros_like,over
o,dyn.grain
oc,over
oc,under
pi_task,strip_wD
potential,carry
potential,j
pv,W_new_prosp
q_levels,n
q_levels,oc
q_levels.values,n
q_new,self.E
qk,over
qk,under
readiness_update,dyn.readiness_update
rho,dyn
rho,self.LOC
rho,self.rho
sdot,dyn.U
self,Lorig
self,M0
self,Mtot
self,W
self,a_task
