source,target
absorptive_capacity,binding_flow
absorptive_capacity,occupation_bound_work
automation_intensity,displaced_old_work
automation_intensity,surviving_new_task_share
available_unbound_mass,binding_allocation
available_unbound_mass,binding_claim
binding_allocation,binding_flow
binding_allocation,desired_binding
binding_allocation,occupation_bound_work
binding_allocation,occupation_grain
binding_claim,binding_allocation
binding_flow,occupation_bound_work
binding_flow,unbound_task_stock
desired_binding,binding_flow
desired_binding,occupation_bound_work
displaced_old_work,seeding_flow
initial_task_mass,absorptive_capacity
occupation_birth,occupation_location
occupation_birth,task_occupation_fit
occupation_bound_work,absorptive_capacity
occupation_bound_work,occupation_birth_potential
occupation_bound_work,occupational_value
occupation_location,task_occupation_fit
occupational_population,displaced_old_work
occupational_population,target_population
occupational_value,target_population
price_field,automation_intensity
price_field,occupational_value
seeded_fraction,seeding_flow
seeding_flow,unbound_task_stock
surviving_new_task_share,seeding_flow
target_population,occupational_population
task_density,occupational_value
task_occupation_fit,binding_claim
technology_maturity,automation_intensity
unbound_task_stock,available_unbound_mass
unbound_task_stock,occupation_birth_potential
unbound_task_stock,occupational_value
unserved_fit_gap,occupation_birth_potential
unserved_fit_gap,occupational_value
