source,target,sign,source_type,mechanism
A_K,a_grid,,ast,
A_K,a_task,,ast,
A_final,A_of,,ast,
A_of,A_K,,ast,
BETA,W,,ast,
BETA,nb1,,ast,
D_o,GammaD,,ast,
Dyn,dyn,,ast,
ESTAR,gap,,ast,
GAMMA,sdot,,ast,
GammaD,GammaD_prev,,ast,
GammaD,dGamma,,ast,
GammaD_prev,dGamma,,ast,
L0,dyn,,ast,
L0,self.L,,ast,
L0,self.original,,ast,
L0.copy,self.L,,ast,
M,Mp,,ast,
M,Wm,,ast,
M,capo,,ast,
M.sum,capo,,ast,
M0,q_new,,ast,
M0,self.mu,,ast,
Mp,capo,,ast,
Mp.sum,capo,,ast,
Mtot,q_new,,ast,
Mtot,self.mu,,ast,
NMIN,neff,,ast,
P.sum,P,,ast,
Path,REPO,,ast,
Path.resolve,REPO,,ast,
Path.resolve.parents,REPO,,ast,
R,Rg,,ast,
R,Rt,,ast,
REPO,_ispec,,ast,
Rg,a_grid,,ast,
Rt,a_task,,ast,
TAU,a_grid,,ast,
TAU,a_task,,ast,
T_max,ts,,ast,
T_shock,A_of,,ast,
T_shock,k_shock,,ast,
Tgt,dyn.L,,ast,
Um,P,,ast,
Um,Z,,ast,
Um,m,,ast,
Um.max,Um,,ast,
Um.max,m,,ast,
W,Tgt,,ast,
W,Um,,ast,
W_new_prosp,w_new,,ast,
Wb,Wsum,,ast,
Wb,t_o,,ast,
Wb.sum,Wsum,,ast,
Wm,Wms,,ast,
Wm,share,,ast,
Wm.sum,Wms,,ast,
Wms,share,,ast,
Wsum,claim,,ast,
Z,T_new,,ast,
__file__,REPO,,ast,
_iface,layer,,ast,
_iface.load_static_layer,layer,,ast,
_ispec,_iface,,ast,
a_grid,eq.a_grid,,ast,
a_grid,surv,,ast,
a_task,D_o,,ast,
a_task,strip_wD,,ast,
absorbed,absorbed_tot,,ast,
absorbed,dyn.B,,ast,
absorbed,dyn.U,,ast,
absorbed.sum,absorbed_tot,,ast,
astype,gap,,ast,
avail,claim,,ast,
avail,t_o,,ast,
bound,self.Sq,,ast,
bound,self.Sx,,ast,
bound,self.Sy,,ast,
c,Tgt,,ast,
c,Um,,ast,
c,w_new,,ast,
ca_lambda,h_grid,,ast,
ca_lambda,h_task,,ast,
cap,keys,,ast,
