t,A_K,U_fix,U_fb,B_fix,B_fb,dlnPi_mean
0.00,0.0303,0.000000,0.000000,0.000000,0.000000,-0.0005
0.20,0.0378,0.000001,0.000001,0.000155,0.000141,-0.0009
0.40,0.0471,0.000001,0.000001,0.000363,0.000338,-0.0013
0.60,0.0583,0.000002,0.000002,0.000645,0.000608,-0.0018
0.80,0.0720,0.000004,0.000003,0.001033,0.000981,-0.0024
1.00,0.0882,0.000009,0.000008,0.001571,0.001500,-0.0032
1.20,0.1075,0.000020,0.000018,0.002328,0.002228,-0.0042
1.40,0.1298,0.000041,0.000038,0.003408,0.003260,-0.0057
1.60,0.1554,0.000084,0.000075,0.004957,0.004731,-0.0077
1.80,0.1840,0.000169,0.000149,0.007179,0.006814,-0.0105
2.00,0.2154,0.000339,0.000284,0.010323,0.009720,-0.0142
2.20,0.2489,0.000655,0.000527,0.014646,0.013633,-0.0191
2.40,0.2839,0.001146,0.000878,0.020369,0.018673,-0.0254
2.60,0.3193,0.001763,0.001263,0.027552,0.024795,-0.0333
2.80,0.3542,0.002354,0.001539,0.035983,0.031717,-0.0427
3.00,0.3878,0.002674,0.001577,0.045206,0.038941,-0.0532
3.20,0.4192,0.002555,0.001347,0.054583,0.045888,-0.0643
3.40,0.4478,0.002059,0.000938,0.063399,0.052064,-0.0755
3.60,0.4734,0.001392,0.000530,0.071094,0.057136,-0.0861
3.80,0.4957,0.000774,0.000252,0.077362,0.061017,-0.0958
4.00,0.5149,0.000351,0.000105,0.082148,0.063847,-0.1042
4.20,0.5312,0.000137,0.000031,0.085609,0.065857,-0.1114
4.40,0.5449,0.000038,0.000009,0.088034,0.067232,-0.1173
4.60,0.5561,0.000011,0.000004,0.089648,0.068147,-0.1220
4.80,0.5654,0.000004,0.000001,0.090662,0.068726,-0.1258
5.00,0.5729,0.000000,0.000000,0.091225,0.069056,-0.1286
5.20,0.5790,0.000000,0.000000,0.091443,0.069204,-0.1307
5.40,0.5839,0.000000,0.000000,0.091443,0.069218,-0.1323
5.60,0.5878,0.000000,0.000000,0.091443,0.069218,-0.1334
5.80,0.5910,0.000000,0.000000,0.091443,0.069218,-0.1341
6.00,0.5935,0.000000,0.000000,0.091443,0.069218,-0.1345
6.20,0.5955,0.000000,0.000000,0.091443,0.069218,-0.1348
6.40,0.5971,0.000000,0.000000,0.091443,0.069218,-0.1349
6.60,0.5984,0.000000,0.000000,0.091443,0.069218,-0.1349
6.80,0.5994,0.000000,0.000000,0.091443,0.069218,-0.1348
7.00,0.6002,0.000000,0.000000,0.091443,0.069218,-0.1346
7.20,0.6008,0.000000,0.000000,0.091443,0.069218,-0.1344
7.40,0.6013,0.000000,0.000000,0.091443,0.069218,-0.1342
7.60,0.6017,0.000000,0.000000,0.091443,0.069218,-0.1339
7.80,0.6020,0.000000,0.000000,0.091443,0.069218,-0.1337
8.00,0.6023,0.000000,0.000000,0.091443,0.069218,-0.1334
8.20,0.6024,0.000000,0.000000,0.091443,0.069218,-0.1331
8.40,0.6026,0.000000,0.000000,0.091443,0.069218,-0.1329
8.60,0.6027,0.000000,0.000000,0.091443,0.069218,-0.1326
8.80,0.6028,0.000000,0.000000,0.091443,0.069218,-0.1324
9.00,0.6029,0.000000,0.000000,0.091443,0.069218,-0.1321
9.20,0.6030,0.000000,0.000000,0.091443,0.069218,-0.1319
9.40,0.6030,0.000000,0.000000,0.091443,0.069218,-0.1317
9.60,0.6030,0.000000,0.000000,0.091443,0.069218,-0.1315
9.80,0.6031,0.000000,0.000000,0.091443,0.069218,-0.1313
10.00,0.6031,0.000000,0.000000,0.091443,0.069218,-0.1311
10.20,0.6031,0.000000,0.000000,0.091443,0.069218,-0.1310
10.40,0.6031,0.000000,0.000000,0.091443,0.069218,-0.1308
10.60,0.6031,0.000000,0.000000,0.091443,0.069218,-0.1307
10.80,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1305
11.00,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1304
11.20,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1303
11.40,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1301
11.60,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1300
11.80,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1299
12.00,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1298
12.20,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1298
12.40,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1297
12.60,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1296
12.80,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1295
13.00,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1295
13.20,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1294
13.40,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1293
13.60,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1293
13.80,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1292
14.00,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1292
14.20,0.6032,0.000000,0.000000,0.091443,0.069218,-0.1292
