OCC_CODE,Title,L0,reinst_gradual,reinst_congested,claim_unconstrained,size_task_mass
11-1011,Chief Executives,0.0011654111402557383,0.0008090743782447717,0.0005353763674081272,0.0031086855199126077,0.0011654111402557383
11-1011,Chief Sustainability Officers,0.0011654111402557383,0.00011662889617285478,0.00032042480447796144,0.0005191508154827192,0.0011654111402557385
11-1021,General and Operations Managers,0.019353504956211152,3.3261859699674295e-05,9.141115066150074e-05,0.00022826420454482378,0.019353504956211152
11-2011,Advertising and Promotions Managers,0.00011382110412098604,8.441201668908992e-05,4.4169159485563865e-05,0.0006823697558624851,0.00011382110412098604
11-2021,Marketing Managers,0.002035538446650344,9.075753108375446e-05,0.0003370269725153813,0.0005344414593724299,0.002035538446650344
11-2022,Sales Managers,0.0031772805352008452,4.826287611423106e-05,0.00016718954228213222,0.00036518039060575265,0.003177280535200845
11-2033,Fundraising Managers,0.00017550408735281464,0.00011086723939463253,6.313128879303063e-05,0.001034646945798625,0.00017550408735281467
11-3012,Administrative Services Managers,0.0013380462516442819,6.844763563799243e-05,0.00017662231062581137,0.0005829980868130263,0.0013380462516442817
11-3013,Facilities Managers,0.0007249681571254273,3.7959544313239135e-05,0.00010215774834415386,0.0002733880831574835,0.0007249681571254273
11-3013,Security Managers,0.0007249681571254273,4.181621821515932e-05,0.000110319567199177,0.00021324126725513862,0.0007249681571254275
11-3021,Computer and Information Systems Managers,0.0032695291469751007,4.633567009846299e-05,0.0001598953499382514,0.00022848764561753853,0.0032695291469751007
11-3031,Financial Managers,0.004343960645594626,5.2416100010079544e-05,0.00015839494650743505,0.0003721105393203815,0.004343960645594627
11-3031,Treasurers and Controllers,0.004343960645594626,0.00011677813042335864,0.0004342760522805061,0.0008586932077531808,0.004343960645594626
11-3031,Investment Fund Managers,0.004343960645594626,5.0750826626153134e-05,0.00015105721126321256,0.00034570651012172436,0.004343960645594627
11-3051,Industrial Production Managers,0.001229742408993048,7.723305621164279e-05,0.00025412654765685343,0.0004508999326537347,0.0012297424089930482
11-3051,Quality Control Systems Managers,0.001229742408993048,0.00027744785393151654,0.00037186652402664537,0.0016895357913788128,0.0012297424089930482
11-3051,Geothermal Production Managers,0.001229742408993048,0.00023179125395007637,0.0003397491142432694,0.0019198508519569046,0.0012297424089930482
11-3051,Biofuels Production Managers,0.001229742408993048,0.00010367484119237582,0.00025927225197516904,0.0007615765527941454,0.001229742408993048
11-3051,Biomass Power Plant Managers,0.001229742408993048,0.00019428577575151428,0.0003255422628254613,0.001719025591659828,0.001229742408993048
11-3051,Hydroelectric Production Managers,0.001229742408993048,0.0002009448177518765,0.00033028268740943075,0.0016328083089242476,0.001229742408993048
11-3061,Purchasing Managers,0.00042775328174988114,3.16454222027884e-05,9.098691752468561e-05,0.00020294132279393258,0.00042775328174988103
11-3071,Supply Chain Managers,0.0010967212349573246,3.259256504339418e-05,9.479027436037579e-05,0.00017728492152585928,0.001096721234957325
11-3111,Compensation and Benefits Managers,0.00010311761686966694,8.813036921828444e-05,4.0026086819703356e-05,0.0007290129449866486,0.00010311761686966698
11-3121,Human Resources Managers,0.0011067626508322733,0.00012919093982431988,0.0002901066981404698,0.0009713919192077513,0.001106762650832273
11-3131,Training and Development Managers,0.00022918704145350269,0.0001507064546633393,9.238307324042227e-05,0.000977803861481654,0.00022918704145350266
