variable,count
d,14
under,13
f,12
inp,11
k,10
self.qk_grid,10
Um,9
over,9
q_new,9
self.Sq,9
dj,8
keys,8
local,8
n0,8
self.q_levels,8
L0,7
eq.n_occ,7
self.Sx,7
self.Sy,7
self.gx,7
self.gy,7
self.q0,7
Mtot,6
c,6
dt,6
dyn.area,6
g0_task,6
kappa,6
self.sw,6
M0,5
REPO,5
Wm,5
Z,5
_iface,5
_ispec,5
dyn.n0,5
ell,5
g0_grid,5
h_grid,5
h_task,5
j,5
occ,5
qk,5
self.n0,5
self.ncell,5
strip_wD,5
d_all,4
fit_best,4
grid,4
inp.grid,4
m,4
oc,4
pv,4
self.mu0,4
share,4
tech,4
A_final,3
Lorig,3
Mp,3
P,3
Rg,3
Rt,3
Wms,3
Wsum,3
bound,3
eq.b_w,3
eq.row_of,3
layer.L0,3
layer.inp,3
layer.occ,3
main,3
rho,3
self._cap,3
self._keys,3
self.area,3
self.b_w,3
self.cell_of,3
self.eq,3
self.rho,3
self.row_of,3
t_o.sum,3
ts,3
BETA,2
GammaD_prev,2
R,2
TAU,2
T_shock,2
Um.max,2
ca_lambda,2
dyn.density,2
dyn.distances,2
dyn.gx,2
dyn.gy,2
dyn.n_occ,2
eq.area,2
eq.pi_cell,2
importlib,2
importlib.util,2
inp.cap,2
inp.grid.chi,2
inp.grid.xi,2
k_shock,2
lam_over,2
layer.c,2
layer.ell,2
layer.g0_grid,2
layer.g0_task,2
layer.kappa,2
layer.tech,2
mu_new,2
q_levels,2
rec,2
self._cap.v,2
self.ell,2
t,2
Dyn,1
ESTAR,1
L0.copy,1
M.sum,1
Mp.sum,1
NMIN,1
P.sum,1
Path,1
Path.resolve,1
Path.resolve.parents,1
T_max,1
Wb.sum,1
Wm.sum,1
__file__,1
_iface.load_static_layer,1
absorbed.sum,1
astype,1
cap.q,1
cap.v_gate,1
cap.v_gate.keys,1
cap_exponent,1
dyn.FIT.max,1
dyn.Pi,1
dyn.grain.get,1
dyn.mu,1
dyn.ncell,1
dyn.place_value,1
dyn.readiness_update,1
dyn.values,1
eq.a_grid,1
eq.area.size,1
eq.cell_of,1
eq.mu,1
eq.mu.copy,1
g,1
grid.chi,1
grid.xi,1
importlib.util.module_from_spec,1
importlib.util.spec_from_file_location,1
inp.occ,1
inp.occ.to_numpy,1
inp.occ.to_numpy.copy,1
iter,1
layer.eq,1
match_beta,1
next,1
next.size,1
o,1
q_levels.values,1
readiness_update,1
self._match_E,1
self.inp,1
self.lam_over,1
self.mu.copy,1
self.n_occ,1
self.q_levels.items,1
self.qk_grid.size,1
set_AK,1
softmax_target,1
tech.A_K,1
theta_L,1
v,1
v.copy,1
