source,target
absorptive_capacity,occupation_bound_work
automation_intensity,surviving_new_task_share
available_unbound_mass,binding_allocation
binding_allocation,binding_flow
binding_allocation,desired_binding
binding_allocation,occupation_bound_work
binding_allocation,occupation_grain
binding_claim,binding_allocation
desired_binding,binding_flow
desired_binding,occupation_bound_work
initial_task_mass,absorptive_capacity
occupation_birth,occupation_location
occupation_birth,task_occupation_fit
occupation_bound_work,occupation_birth_potential
occupation_location,task_occupation_fit
occupational_population,displaced_old_work
occupational_population,target_population
price_field,automation_intensity
price_field,occupational_value
task_density,occupational_value
unbound_task_stock,occupation_birth_potential
unbound_task_stock,occupational_value
unserved_fit_gap,occupation_birth_potential
unserved_fit_gap,occupational_value
