occupation,onet_code,number,direction,deg,chi,task
Software Developers,15-1252.00,1,human-centered,33.6,0.558,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance."
Software Developers,15-1252.00,2,human-centered,42.0,0.442,"Prepare reports or correspondence concerning project specifications, activities, or status."
Software Developers,15-1252.00,3,analytical,45.8,0.45,Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.
Software Developers,15-1252.00,4,analytical,57.7,0.553,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces."
Software Developers,15-1252.00,5,analytical,61.9,0.336,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel."
Software Developers,15-1252.00,6,analytical,65.9,0.443,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel."
Software Developers,15-1252.00,7,analytical,73.3,0.64,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.
Software Developers,15-1252.00,8,analytical,75.5,0.509,"Obtain and evaluate information on factors such as reporting formats required, costs, or security needs to determine hardware configuration."
Software Developers,15-1252.00,9,analytical,79.1,0.66,"Develop or direct software system testing or validation procedures, programming, or documentation."
Software Developers,15-1252.00,10,analytical,80.7,0.67,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system."
Software Developers,15-1252.00,11,analytical,82.4,0.526,Determine system performance standards.
Software Developers,15-1252.00,12,analytical,85.2,0.655,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design."
Software Developers,15-1252.00,13,analytical,87.9,0.413,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
Software Developers,15-1252.00,14,analytical,106.3,0.125,Coordinate installation of software system.
Software Developers,15-1252.00,15,analytical,119.5,0.38,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance."
Software Developers,15-1252.00,16,analytical,123.9,0.72,Monitor functioning of equipment to ensure system operates in conformance with specifications.
Software Developers,15-1252.00,17,technical-physical,175.3,0.173,Train users to use new or modified equipment.
Lawyers,23-1011.00,1,human-centered,0.3,0.503,"Advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations."
Lawyers,23-1011.00,2,human-centered,3.9,0.465,"Interpret laws, rulings and regulations for individuals and businesses."
Lawyers,23-1011.00,3,human-centered,8.9,0.181,"Prepare, draft, and review legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts."
Lawyers,23-1011.00,4,human-centered,20.2,0.511,Confer with colleagues with specialties in appropriate areas of legal issue to establish and verify bases for legal proceedings.
Lawyers,23-1011.00,5,human-centered,21.3,0.423,Gather evidence to formulate defense or to initiate legal actions by such means as interviewing clients and witnesses to ascertain the facts of a case.
Lawyers,23-1011.00,6,human-centered,27.5,0.5,Evaluate findings and develop strategies and arguments in preparation for presentation of cases.
Lawyers,23-1011.00,7,human-centered,28.8,0.602,"Help develop federal and state programs, draft and interpret laws and legislation, and establish enforcement procedures."
Lawyers,23-1011.00,8,human-centered,36.7,0.476,"Study Constitution, statutes, decisions, regulations, and ordinances of quasi-judicial bodies to determine ramifications for cases."
Lawyers,23-1011.00,9,human-centered,41.2,0.474,"Analyze the probable outcomes of cases, using knowledge of legal precedents."
Lawyers,23-1011.00,10,human-centered,43.7,0.546,Examine legal data to determine advisability of defending or prosecuting lawsuit.
Lawyers,23-1011.00,11,analytical,50.9,0.323,Search for and examine public and other legal records to write opinions or establish ownership.
Lawyers,23-1011.00,12,human-centered,322.2,0.424,"Act as agent, trustee, guardian, or executor for businesses or individuals."
Lawyers,23-1011.00,13,human-centered,331.1,0.288,"Select jurors, argue motions, meet with judges, and question witnesses during the course of a trial."
Lawyers,23-1011.00,14,human-centered,331.4,0.449,Present and summarize cases to judges and juries.
Lawyers,23-1011.00,15,human-centered,333.5,0.456,Perform administrative and management functions related to the practice of law.
Lawyers,23-1011.00,16,human-centered,334.9,0.457,Supervise legal assistants.
Lawyers,23-1011.00,17,human-centered,335.1,0.388,Negotiate settlements of civil disputes.
Lawyers,23-1011.00,18,human-centered,335.5,0.428,Probate wills and represent and advise executors and administrators of estates.
Lawyers,23-1011.00,19,human-centered,343.8,0.339,Negotiate contractual agreements.
Lawyers,23-1011.00,20,human-centered,344.7,0.431,"Prepare legal briefs and opinions, and file appeals in state and federal courts of appeal."
