spec,cluster,param,variable,coef,se,t,p
Q_plane,S1,a0,const,2.681585527799831,0.010653218857785685,251.71598965509375,0.0
Q_plane,S1,a4,x,1.0939363403609976,0.02706073825656258,40.42522158816949,0.0
Q_plane,S1,a5,y,1.4214121602799792,0.047707039251905094,29.794600179955996,4.589409358450693e-195
Q_plane,S1,a1,cos_xi,0.0,,,
Q_plane,S1,a2,sin_xi,0.0,,,
Q_plane,S1,a3,chi,0.0,,,
Q1_field,S1,a0,const,2.6359480419098205,0.032557039241748416,80.96399744266984,0.0
Q1_field,S1,a1,cos_xi,0.027320375703049002,0.04139729367335642,0.6599555980306167,0.5092823237297617
Q1_field,S1,a2,sin_xi,0.03755015103394532,0.05359737498616284,0.7005968304164074,0.4835546570260997
Q1_field,S1,a3,chi,0.1148608804222061,0.07449586567581586,1.5418423476283496,0.12311190856303525
Q1_field,S1,a4,chi_cos,1.0507405799143659,0.08996676383405887,11.679208355792667,1.628046777001617e-31
Q1_field,S1,a5,chi_sin,1.3246221438041008,0.13701434818006317,9.667762255550732,4.13316440386815e-22
Q_plane,S2,a0,const,1.3660804805075242,0.018264649637816408,74.79368658017374,0.0
Q_plane,S2,a4,x,-2.2188942162176373,0.04798186425122348,-46.24443528496411,0.0
Q_plane,S2,a5,y,1.2283529927311823,0.0804416338828626,15.270114907410804,1.2095974685475831e-52
Q_plane,S2,a1,cos_xi,0.0,,,
Q_plane,S2,a2,sin_xi,0.0,,,
Q_plane,S2,a3,chi,0.0,,,
Q1_field,S2,a0,const,1.4158215596820682,0.05904970396995557,23.976776588116966,4.85879266447797e-127
Q1_field,S2,a1,cos_xi,-0.30860032800783466,0.07597729653207806,-4.0617439958204065,4.870747420379559e-05
Q1_field,S2,a2,sin_xi,0.12204404526662264,0.09341792752074193,1.3064306659931495,0.1914061429844507
Q1_field,S2,a3,chi,-0.0689323902933085,0.13263393026884884,-0.5197191258193331,0.6032593544862276
Q1_field,S2,a4,chi_cos,-1.5712503723296307,0.1611982122124886,-9.7473188490356,1.894044400958555e-22
Q1_field,S2,a5,chi_sin,0.9183581641376302,0.24186642713060247,3.7969641964477248,0.0001464789358918251
Q_plane,A1,a0,const,3.197896056110105,0.009211676307827177,347.15679852893305,0.0
Q_plane,A1,a4,x,0.9516495411616133,0.02443249066609684,38.95016493271998,0.0
Q_plane,A1,a5,y,1.3089113974232995,0.04094775682773343,31.965399299645867,3.301123762051985e-224
Q_plane,A1,a1,cos_xi,0.0,,,
Q_plane,A1,a2,sin_xi,0.0,,,
Q_plane,A1,a3,chi,0.0,,,
Q1_field,A1,a0,const,3.1714144815066385,0.026946101087212175,117.69474445457708,0.0
Q1_field,A1,a1,cos_xi,0.01129807345329966,0.0365212725503987,0.3093559633692534,0.7570507646167872
Q1_field,A1,a2,sin_xi,0.012973244457985157,0.0421626604495924,0.30769511030963825,0.7583143407497316
Q1_field,A1,a3,chi,0.06719792169859168,0.06361095393572554,1.0563891521968138,0.2907904599554235
Q1_field,A1,a4,chi_cos,0.9359894041137354,0.08064454585767131,11.606357183356865,3.8256925173013015e-31
Q1_field,A1,a5,chi_sin,1.2747512515774753,0.11181837988812726,11.400194251185237,4.171871881791979e-30
Q_plane,A2,a0,const,1.572945837431858,0.016162399613701642,97.32130593395279,0.0
Q_plane,A2,a4,x,-1.5394246079207365,0.0383863280969342,-40.103460899759405,0.0
Q_plane,A2,a5,y,-0.2435725625022032,0.06479154822832293,-3.7593261646389866,0.0001703716078444099
Q_plane,A2,a1,cos_xi,0.0,,,
Q_plane,A2,a2,sin_xi,0.0,,,
Q_plane,A2,a3,chi,0.0,,,
Q1_field,A2,a0,const,1.7400276011875182,0.05044027262904597,34.49679215622489,8.960970065261434e-261
Q1_field,A2,a1,cos_xi,-0.06898526988820153,0.07080489168879811,-0.9743009027032455,0.32990715658459246
Q1_field,A2,a2,sin_xi,-0.07251138614084778,0.0748616197743021,-0.9686056267478587,0.3327419948887326
Q1_field,A2,a3,chi,-0.4240949454053555,0.10899679533252615,-3.8908937103291117,9.987567886624237e-05
Q1_field,A2,a4,chi_cos,-1.4451915275175131,0.14355003371896127,-10.06751088855105,7.689960050291845e-24
Q1_field,A2,a5,chi_sin,-0.051420441137905046,0.185092558648979,-0.2778093377347598,0.781158722766343
V_mediation,S1,v_k,S1,0.3279700666967582,0.06488092471837595,5.054953641927188,4.3049532433146107e-07
V_mediation,S2,v_k,S2,0.04930885917048606,0.021189090890778462,2.327087057422807,0.019960632220437712
V_mediation,A1,v_k,A1,-0.02990333236669968,0.07754606469862087,-0.38562024369537734,0.6997779384108838
V_mediation,A2,v_k,A2,0.009604501049259537,0.024088146835406558,0.39872311950299655,0.6900972306587123
