onet_code,Title,xi,chi,L0,L_eq,dL,D_o,dW_bundle,W_o
11-1011.00,Chief Executives,0.0432880374740697,0.428554446147045,0.0011654111402557383,0.0005353913637990747,-0.0006300197764566636,0.4800253182279746,-20.62939452638146,14.696074835619763
11-1011.03,Chief Sustainability Officers,0.7319711650522066,0.5689972886910015,0.0011654111402557383,0.0001439850043717133,-0.0010214261358840251,0.9040931781368453,-46.37571951565445,6.825446904362581
11-1021.00,General and Operations Managers,6.009418790413957,0.2249623046912035,0.019353504956211152,0.021437666273101202,0.00208416131689005,0.38171312844909877,-16.205681434984843,4.512396652004292
11-2011.00,Advertising and Promotions Managers,6.186037763263066,0.3534879230816969,0.00011382110412098604,0.0001012449211032948,-1.2576183017691235e-05,0.40757872343520396,-16.288929450205472,13.242480514854716
11-2021.00,Marketing Managers,0.5228602622859758,0.329644241090433,0.002035538446650344,0.0010141346282500504,-0.0010214038184002934,0.6778999896981386,-30.96561619396705,7.291997951606748
11-2022.00,Sales Managers,5.913709870277248,0.2702259567642287,0.0031772805352008452,0.00341701594487442,0.0002397354096735746,0.2895521021017042,-11.296306012104175,9.086366337594205
11-2033.00,Fundraising Managers,6.22221580559785,0.4352335646664907,0.00017550408735281464,0.0001328795049458522,-4.262458240696245e-05,0.4147104786767118,-16.264719456440055,12.738616624394487
11-3012.00,Administrative Services Managers,5.92454583752824,0.3144911988944552,0.0013380462516442819,0.001217015378550731,-0.00012103087309355085,0.330028177200931,-13.996032268141064,10.026302796632637
11-3013.00,Facilities Managers,5.98552485495477,0.161412467670889,0.0007249681571254273,0.000650265875827649,-7.470228129777831e-05,0.3584778852431452,-14.478728287813597,8.768478388552245
11-3013.01,Security Managers,0.5435556012825746,0.4130590289308359,0.0007249681571254273,0.0001578815512796006,-0.0005670866058458267,0.7564891972504393,-35.25725634197248,9.833259237116778
11-3021.00,Computer and Information Systems Managers,0.3670887892730913,0.3243190125393295,0.0032695291469751007,0.0018634631271097577,-0.001406066019865343,0.5948596089366252,-27.354709646442547,8.068847699258042
11-3031.00,Financial Managers,0.051494081126868,0.2822642132868055,0.004343960645594626,0.0035617827078321188,-0.0007821779377625076,0.44229767346293475,-19.763106265518953,7.65907485002924
11-3031.01,Treasurers and Controllers,6.148192677012326,0.3595297959650215,0.004343960645594626,0.004014765059540714,-0.000329195586053912,0.4344600809263981,-17.269263876521634,9.695973036434655
11-3031.03,Investment Fund Managers,0.5340934561205879,0.3991306703008781,0.004343960645594626,0.0021071580676198833,-0.002236802577974743,0.7098453974636364,-33.377898533924586,6.171050540157488
11-3051.00,Industrial Production Managers,1.3134581371015273,0.1989424541118191,0.001229742408993048,0.0009422395921746334,-0.0002875028168184146,0.43533607543856,-20.445238001771905,12.31915890052069
11-3051.01,Quality Control Systems Managers,1.4841349685704164,0.4914131197576318,0.001229742408993048,0.0003551343049968933,-0.0008746081039961547,0.7124013049486361,-36.974751460486104,26.599705116431437
11-3051.02,Geothermal Production Managers,1.8948787588329048,0.3841222058814747,0.001229742408993048,0.000832083117158021,-0.00039765929183502703,0.43213226020478196,-19.72645916841347,26.397615245680406
11-3051.03,Biofuels Production Managers,2.075153839565387,0.3588160067798626,0.001229742408993048,0.0009485408434521894,-0.00028120156554085863,0.3605880578317261,-16.10906056416193,26.972848065948934
11-3051.04,Biomass Power Plant Managers,2.180300758593517,0.3643382047763537,0.001229742408993048,0.001020159844753229,-0.00020958256423981897,0.29639722073853303,-13.92566245120749,27.614518584075526
11-3051.06,Hydroelectric Production Managers,1.8995174726333008,0.3619763582343961,0.001229742408993048,0.0008330406184456618,-0.0003967017905473862,0.40767650575519415,-19.05931320140512,22.283432240807105
11-3061.00,Purchasing Managers,6.1840020285821184,0.1570309886772475,0.00042775328174988114,0.000368472271423389,-5.928101032649216e-05,0.41039992055459884,-17.6738228505969,15.050887677974849
11-3071.04,Supply Chain Managers,1.392188541483666,0.2250395021546922,0.0010967212349573246,0.0005190580684310349,-0.0005776631665262897,0.5923004816504669,-26.867099831413526,14.167382700659735
