Job Family,eta_g,eta_g_sd,n,eta_g_empw
Personal Care and Service,-0.26098695801615196,0.2247678362345429,27,-0.3995496922737337
Healthcare Support,-0.2563194249902607,0.2037816017460241,17,-0.24414978249791017
Community and Social Service,-0.25381394915454886,0.18730973366366616,12,-0.26188513230286936
"Farming, Fishing, and Forestry",-0.23381564462813634,0.2230882933867448,11,-0.35160130877143997
Food Preparation and Serving Related,-0.19788333212383324,0.11294703217310702,16,-0.22798531280756215
Educational Instruction and Library,-0.17172658376277802,0.17611413188993524,13,-0.22223429379297663
"Life, Physical, and Social Science",-0.16310599181154362,0.28888674029927647,57,-0.21744670964591903
Building and Grounds Cleaning and Maintenance,-0.1507424131873364,0.12095600252312708,8,-0.15229230755539902
Office and Administrative Support,-0.14916758553010567,0.20048478633673586,50,-0.19477433000241196
Protective Service,-0.12215952743751977,0.32939433269739715,25,-0.10350158612435888
Production,-0.09325336433835842,0.19589852731226046,103,-0.15267628256269583
Business and Financial Operations,-0.08807227856199328,0.1733972610152291,38,-0.09658183584350692
Sales and Related,-0.07121944658536379,0.24775293362364129,21,-0.159071073093798
Architecture and Engineering,-0.03721207606134539,0.21148135385097613,51,-0.0011360063746247795
"Installation, Maintenance, and Repair",-0.0327662876638595,0.20808258964083903,50,-0.08373401774443334
"Arts, Design, Entertainment, Sports, and Media",-0.020016916882629552,0.22833661515903472,34,0.0015109415237228995
Transportation and Material Moving,0.03781425033669616,0.26690583309317517,41,-0.052857031028482805
Construction and Extraction,0.08544722758770931,0.19397633333891157,59,0.027586596753284568
Computer and Mathematical,0.12265352171491241,0.2032159573603429,30,0.1109867251849341
Legal,0.15120160231437024,0.4453548389420639,7,0.3472127219710872
Healthcare Practitioners and Technical,0.2722503497484308,0.5060466489385783,64,0.1865864812692397
Management,0.37161918236565916,0.26439034298543806,51,0.4404177539515424
