onet_code,Title,OCC_CODE,L0,w1999,w2003,w2007,one_to_one_all,dW_robot,proj_robot,dW_software,proj_software,dW_clone,proj_clone,dW_llm,proj_llm,dlnw_full,dlnw_early,dlnw_late
11-1011.00,Chief Executives,11-1011,0.0038482818149380314,52.07999999999997,64.77999999999999,72.77,True,-0.006773623995667535,-8.540278454246677e-05,-0.06160494078184089,-0.0008529006132830019,-0.4120382281974911,-0.00602425313509391,-0.24805193347407042,-0.003339020422341862,0.3345227844586818,0.2182159158428698,0.11630686861581196
11-1011.03,Chief Sustainability Officers,11-1011,0.0038482818149380314,52.07999999999997,64.77999999999999,72.77,True,-0.03602855427752245,-0.00015157064029487342,-0.38033392620425405,-0.0017185219242261804,-1.6124966165100594,-0.005905969484757901,-1.3786702662861094,-0.005126606853557359,0.3345227844586818,0.2182159158428698,0.11630686861581196
11-1021.00,General and Operations Managers,11-1021,0.014860545063041025,27.230000000000004,34.99999999999999,42.64,True,-0.004235444815273355,-0.00010019957484024666,-0.04772765151280338,-0.0012455490042221785,-0.07231338689864203,-0.0018260510843033015,-0.12334476963993923,-0.0031412317291296065,0.44847347317192066,0.2510287548037451,0.19744471836817556
11-2011.00,Advertising and Promotions Managers,11-2011,0.0006484057725903024,24.3,29.010000000000005,37.619999999999976,True,-0.0032129037738200285,-3.746609275956199e-05,-0.02380557264724991,-0.000357995872971367,-0.0561074591132768,-0.0008438828103556936,-0.08908664440943277,-0.0013234707555501068,0.43705947352638086,0.17716424778681006,0.2598952257395708
11-2021.00,Marketing Managers,11-2021,0.0013065440771548727,32.18,40.01,50.19,True,-0.012946394890609924,-0.00013140048051108036,-0.16167797638400036,-0.0018114838146880351,-0.4266873101763494,-0.004789209927158695,-0.4265983305393527,-0.004519572720622755,0.4444706621026051,0.21778428130490646,0.22668638079769865
11-2022.00,Sales Managers,11-2022,0.002369581493390644,30.59,38.69,45.63,True,-0.0014817319520625469,-3.138794811977104e-05,-0.013410878131985948,-0.0002578409530949245,-0.013384368766430036,-0.0002592890668726815,-0.035659417762446896,-0.0006815125891836312,0.3998922367764992,0.23490801054960952,0.16498422622688969
11-2033.00,Fundraising Managers,11-2033,0.0004331943536361255,24.77,31.160000000000004,41.57000000000002,False,-0.002108067059099589,-4.387263044168547e-05,-0.021492926825549548,-0.000322982850746006,-0.15708541163066164,-0.0022418066582826327,-0.13348784328751165,-0.001863859684011234,0.5177455097632784,0.22950197750127943,0.28824353226199895
11-3012.00,Administrative Services Managers,11-3012,0.0023430909593414777,20.78000000000001,27.370000000000005,34.13,False,-0.0031159977095451263,-7.499414682873994e-05,-0.032174389408361,-0.0006697397095909061,-0.07321411772352579,-0.0015401973461752372,-0.11778482823952706,-0.00243430678248959,0.496185777247534,0.2754565373815061,0.22072923986602788
11-3013.00,Facilities Managers,11-3013,0.0023430909593414777,20.78000000000001,27.370000000000005,34.13,False,-0.013833160120042301,0.00011703413691788037,-0.017119947290678932,-0.00042328211260623735,-0.006385911610799313,-0.00016973561729921493,-0.026939850607183607,-0.0006560919280929933,0.496185777247534,0.2754565373815061,0.22072923986602788
11-3013.01,Security Managers,11-3013,0.0023430909593414777,20.78000000000001,27.370000000000005,34.13,False,-0.015585221848875185,-0.00012042720054441883,-0.17498078722542204,-0.0014533583546060005,-0.6106021289884825,-0.0047742285451730475,-0.5887234463460024,-0.004525473887720536,0.496185777247534,0.2754565373815061,0.22072923986602788
