object,field,window,N,spearman_raw,p_raw,partial_w0,p_partial
dW,robot,1999-2003,774,0.10519557839435283,0.0033892468388087974,0.10221222378363991,0.004420358712442752
dW,robot,2003-2007,774,0.20193349874493616,1.4500886156574244e-08,0.1980439458172614,2.7607743716320013e-08
dW,robot,1999-2007,774,0.21865067274556862,7.858715902119043e-10,0.21855688650034047,7.993697775195448e-10
dW,llm,1999-2003,774,-0.21424083326604562,1.7358590304264741e-09,-0.1637707217219073,4.653458416234233e-06
dW,llm,2003-2007,774,-0.352279861553357,4.948406933290621e-24,-0.2349166009309161,3.644715217371945e-11
dW,llm,1999-2007,774,-0.3796170202057699,6.150117347913842e-28,-0.29275510425909257,9.224046349292988e-17
dW,clone,1999-2003,774,-0.1686330526764858,2.3845623156838167e-06,-0.10444949923532322,0.003624260358255098
dW,clone,2003-2007,774,-0.316410928673615,1.8571966373865314e-19,-0.19061851416730216,9.108316522114143e-08
dW,clone,1999-2007,774,-0.32357539854279044,2.529425488427841e-20,-0.21858059814242733,7.959359139932343e-10
dW,software,1999-2003,774,-0.17188794795928805,1.5079005162405078e-06,-0.11182159937680597,0.0018349563495558972
dW,software,2003-2007,774,-0.2001011095606252,1.9671096423485172e-08,-0.0472823201630086,0.1888315356990366
dW,software,1999-2007,774,-0.24357234576838915,6.458377555019136e-12,-0.12143605625496441,0.0007104053343223127
proj,robot,1999-2007,774,-0.16508132980388504,3.893390763163752e-06,-0.13352086026762858,0.00019504157361469987
proj,llm,1999-2007,774,-0.3778953057339993,1.111930856741255e-27,-0.2905251123867155,1.608666439615415e-16
proj,clone,1999-2007,774,-0.33978632598914776,2.2726307477734607e-22,-0.24044893515524443,1.2153611570092151e-11
proj,software,1999-2007,774,-0.18852162057006547,1.2652826771254317e-07,-0.06746327090027622,0.06065663582831372
dW,robot,2019-2025,725,-0.1968664889879331,9.090324665478857e-08,-0.023469291636772412,0.5280885702088602
dW,llm,2019-2025,725,0.4243822572989959,4.6374668694557834e-33,0.027933309164139837,0.4526670351149711
