onet_code,Title,xi,chi,L0,L_eq,dL,dL_shock,drift,D_o,B_o,dW_bundle,W_o,proj,ln_w_era
11-1011.00,Chief Executives,0.0432880374740697,0.428554446147045,0.0038482818149380314,0.0014972315107349534,-0.002351050304203078,2.52666347296069e-06,-0.0023535769676760387,0.0002444968221278656,2.112281347864924e-08,-0.006678874773232753,12.499979419878612,-8.540278458542941e-05,3.9527809979003132
11-1011.03,Chief Sustainability Officers,0.7319711650522066,0.5689972886910015,0.0038482818149380314,0.002622478215210752,-0.0012258035997272793,2.3714989508512654e-06,-0.0012281750986781305,0.0011164418657553465,1.4356922051857102e-07,-0.03569381508450112,22.30147259966824,-0.000151570640720149,3.9527809979003132
11-1021.00,General and Operations Managers,6.009418790413957,0.2249623046912035,0.014860545063041025,0.0013596508934709856,-0.01350089416957004,2.8273566540617037e-06,-0.0135037215262241,0.0002203643002051821,1.140627934270453e-07,-0.0038086877624325995,9.613427382456447,-0.00010019957463942473,3.3043193066856684
11-2011.00,Advertising and Promotions Managers,6.186037763263066,0.3534879230816969,0.0006484057725903024,0.0012865521738822092,0.0006381464012919068,2.507128087320381e-06,0.0006356392732045865,0.0001759731969113154,7.938718325437824e-08,-0.0028836990281214253,9.984633318408656,-3.746609276286641e-05,3.190476350346503
11-2021.00,Marketing Managers,0.5228602622859758,0.329644241090433,0.0013065440771548727,0.0015582865135810794,0.0002517424364262067,2.616403950951021e-06,0.0002491260324752557,0.0004796861464562547,8.716093680050016e-08,-0.012619366302803376,12.963096478317503,-0.00013140048073081363,3.471345141564237
11-2022.00,Sales Managers,5.913709870277248,0.2702259567642287,0.002369581493390644,0.001208132003599328,-0.0011614494897913157,2.5919075258948494e-06,-0.0011640413973172106,9.72490620577368e-05,6.489697555983067e-08,-0.00119261105211457,8.517036322022747,-3.13879479586286e-05,3.420673158162812
11-2033.00,Fundraising Managers,6.22221580559785,0.4352335646664907,0.0004331943536361255,0.001232474103314066,0.0007992797496779405,2.474586888593852e-06,0.0007968051627893466,0.00012092091292944003,1.0122126921204175e-07,-0.001708672303129409,10.419466196038513,-4.3872630747173115e-05,3.209633243501268
11-3012.00,Administrative Services Managers,5.92454583752824,0.3144911988944552,0.0023430909593414777,0.0012178708926642479,-0.0011252200666772298,2.568334707127133e-06,-0.001127788401384357,0.00018103266475529042,1.2944853766499506e-07,-0.002622763221076658,8.899149511965092,-7.49941470814414e-05,3.033990985671082
11-3013.00,Facilities Managers,5.98552485495477,0.161412467670889,0.0023430909593414777,0.0012315235311831144,-0.0011115674281583633,2.1256154791589148e-06,-0.0011136930436375222,0.0009673920571460449,1.3606264002137182e-07,-0.013302051626774015,8.436273098569604,0.00011703414276292726,3.033990985671082
11-3013.01,Security Managers,0.5435556012825746,0.4130590289308359,0.0023430909593414777,0.0021583861859410056,-0.00018470477340047208,2.8390458092298135e-06,-0.0001875438192097019,0.0005807715910602574,1.9070417526739026e-07,-0.015105173911243224,17.406060550374328,-0.00012042720100563446,3.033990985671082
