R,tau,gamma,ell,rho,lam_over,converged,share_auto,share_reinst,seeded,captured_of_seeded,bound_of_seeded,unbound_of_seeded,resort_share,dW_neg_share,block
18.0,0.08,0.5,0.13304155449655236,0.5,1.0,True,0.6487647765440056,0.6438556532922813,0.09712993403694649,0.2739359743847439,0.05043277180442867,0.6756312538108274,0.13725972519311158,0.8904593639575972,baseline
18.0,0.08,0.5,0.03326038862413809,0.5,1.0,True,0.6490774003844385,0.646665796364454,0.09694320047664515,0.27393597438474393,0.00805788123120276,0.7180061443840533,0.1377545073754695,0.9693757361601885,A:ell
18.0,0.08,0.5,0.06652077724827618,0.5,1.0,True,0.6489944625639185,0.6449648399472286,0.09699148902888872,0.2739359743847438,0.022904998297856104,0.7031590273174001,0.13763127475870812,0.9352179034157833,A:ell
18.0,0.08,0.5,0.2660831089931047,0.5,1.0,True,0.6484658208629185,0.6445494706178876,0.09730015799312178,0.27393597438474376,0.08510980761627904,0.6409542179989772,0.13683156610234923,0.8657243816254417,A:ell
18.0,0.08,0.5,0.5321662179862094,0.5,1.0,True,0.6482558807961016,0.6466336629511893,0.09739776575287742,0.27393597438474376,0.11592257943098189,0.6101414461842743,0.13664376547427276,0.8421672555948174,A:ell
18.0,0.08,0.25,0.13304155449655236,0.5,1.0,True,0.6489256723674212,0.6438611166876109,0.04851805560584672,0.2739359743847438,0.05043389064504438,0.6756301349702117,0.1375037283139372,0.928150765606596,A:gamma
18.0,0.08,0.75,0.13304155449655236,0.5,1.0,True,0.6486034665204515,0.6446837104106766,0.14583506551882647,0.27393597438474365,0.050431549265991485,0.6756324763492648,0.13702313721296677,0.872791519434629,A:gamma
18.0,0.08,0.25,0.03326038862413809,0.5,1.0,True,0.6490816101708761,0.6472026085977106,0.048471411776709876,0.2739359743847437,0.008057612600799846,0.7180064130144563,0.1377513668579348,0.9776207302709069,A:ell_g25
18.0,0.08,0.75,0.03326038862413809,0.5,1.0,True,0.6490731912216084,0.6463498436915112,0.14541532986963873,0.2739359743847439,0.008058148017050524,0.7180058775982057,0.1377577005534032,0.9599528857479388,A:ell_g75
18.0,0.08,0.25,0.06652077724827618,0.5,1.0,True,0.6490402248161856,0.6455863892609386,0.04848348784252605,0.2739359743847439,0.022904460935304613,0.7031595646799516,0.1376897729419949,0.9634864546525324,A:ell_g25
18.0,0.08,0.75,0.06652077724827618,0.5,1.0,True,0.6489486484237563,0.6448143989169423,0.14552414568167876,0.27393597438474376,0.02290553040205402,0.7031584952132022,0.13757327323628368,0.9057714958775029,A:ell_g75
18.0,0.08,0.25,0.2660831089931047,0.5,1.0,True,0.6487768694081322,0.6429227861389487,0.048560798272194824,0.27393597438474365,0.08511371248221936,0.6409503131330369,0.13728064989160835,0.8928150765606596,A:ell_g25
18.0,0.08,0.75,0.2660831089931047,0.5,1.0,True,0.6481497409327707,0.6472944502357022,0.14621828504277598,0.27393597438474393,0.08510547707969708,0.640958548535559,0.13639647772954816,0.8362779740871613,A:ell_g75
18.0,0.08,0.25,0.5321662179862094,0.5,1.0,True,0.6486744793559542,0.642925474928076,0.04858519760548436,0.27393597438474376,0.1159273348038772,0.610136690811379,0.13718079285972185,0.8833922261484098,A:ell_g25
18.0,0.08,0.75,0.5321662179862094,0.5,1.0,True,0.647837822500953,0.6515305813940624,0.14643795447930308,0.2739359743847439,0.11591713471322972,0.6101468909020266,0.13612863304505995,0.817432273262662,A:ell_g75
12.0,0.08,0.5,0.13304155449655236,0.5,1.0,True,0.5074075722143436,0.5073004056292911,0.15153076515280606,0.4244273376531066,0.04211317404666717,0.5334594883002263,0.17617697839005667,0.983510011778563,B:R
24.0,0.08,0.5,0.13304155449655236,0.5,1.0,True,0.7762223426616615,0.768183066858442,0.059853399318061454,0.15744266977965649,0.05608182970172743,0.786475500518616,0.08799783748418916,0.8044758539458187,B:R
18.0,0.04,0.5,0.13304155449655236,0.5,1.0,True,0.6456172912103925,0.6411171049537868,0.09375261637319665,0.27931813359432417,0.05088974761669223,0.6697921187889836,0.1494983854688473,0.790341578327444,B:tau
18.0,0.16,0.5,0.13304155449655236,0.5,1.0,True,0.6437675332997688,0.6390402838947465,0.10987961062175582,0.2837220787509482,0.04857448855583753,0.6677034326932143,0.1191327026400858,0.9976442873969376,B:tau
12.0,0.04,0.5,0.13304155449655236,0.5,1.0,True,0.5118166865982883,0.5117646619931672,0.14375699088999946,0.43143696521449476,0.042720084541936355,0.5258429502435689,0.18711034215696065,0.9151943462897526,B:Rtau
12.0,0.16,0.5,0.13304155449655236,0.5,1.0,True,0.5064285380143229,0.506910672584,0.1703018798111144,0.41798660753038863,0.040293093399406975,0.5417202990702044,0.1500969637742282,1.0,B:Rtau
24.0,0.04,0.5,0.13304155449655236,0.5,1.0,True,0.7816217526275757,0.7736295606242176,0.05556554004777789,0.1501888617462627,0.05701685804391956,0.7927942802098178,0.09471636409130299,0.6878680800942285,B:Rtau
