spec,param,variable,coef,se,t,p
S0_replication,m0,const,3.4210845597535036,0.03808488939548169,89.82787173748163,0.0
S0_replication,m1,cos_xi,0.21187271884640896,0.017406351331829634,12.172149970279749,4.374073253293069e-34
S0_replication,m2,sin_xi,0.3885934353343428,0.01815003153009218,21.41006943652231,1.0765217952388837e-101
S0_replication,m3,chi,-0.045458558733643725,0.08981947679195754,-0.5061102597929417,0.6127792484812904
S1_field,m0,const,3.4194807359941333,0.0354907291602259,96.34856248110874,0.0
S1_field,m1,cos_xi,0.19207370828367673,0.04835942024431018,3.971795098314387,7.133306462180017e-05
S1_field,m2,sin_xi,0.08885714151957458,0.051237712395700005,1.7342136751411972,0.08288017744091447
S1_field,m3,chi,-0.06467671009241482,0.08967014402248083,-0.721273627888899,0.4707411793079368
S1_field,m4,chi_cos,0.008155927293086274,0.11232882561301853,0.07260760760718778,0.942118372706889
S1_field,m5,chi_sin,0.8912500741970265,0.1338178277305204,6.660174427519536,2.73502791997528e-11
S2_interaction_unbalanced,m0,const,3.4648951740866507,0.03608341383236644,96.02459429652625,0.0
S2_interaction_unbalanced,m1,cos_xi,0.15418094480281042,0.048823964332742026,3.15789483525029,0.0015891287456694769
S2_interaction_unbalanced,m2,sin_xi,0.03393788854159364,0.05227131857831594,0.6492640603803769,0.5161677115986656
S2_interaction_unbalanced,m3,chi,-0.25516111267853064,0.09277665070334733,-2.7502729484642257,0.005954564184931588
S2_interaction_unbalanced,m4,chi_cos,0.11879497289715134,0.11747957314782764,1.0111968380040715,0.3119222288937735
S2_interaction_unbalanced,m5,chi_sin,1.0940323980101454,0.13674109760123213,8.000757761946526,1.236558439457123e-15
S2_interaction_unbalanced,m6,chi_cos2,0.21956891036131618,0.03912765660074661,5.611603899558005,2.0045987025833468e-08
S2_interaction_unbalanced,m7,chi_sin2,0.09686746272170221,0.04427485101479344,2.1878664863115214,0.028679329135291084
L2_level_only,m0,const,3.4518204406390995,0.035819999537818115,96.36573102115005,0.0
L2_level_only,m1,cos_xi,0.1560149555257008,0.04797763937875336,3.2518264246821444,0.0011466602363158357
L2_level_only,m2,sin_xi,0.04423062961371607,0.052166541330383676,0.8478735313041457,0.3965084067733523
L2_level_only,m3,chi,-0.19941175572628758,0.0917225843350885,-2.1740747621957546,0.029699520986043122
L2_level_only,m4,chi_cos,0.09860462694351732,0.11379940977228271,0.8664774900048183,0.38622836539145644
L2_level_only,m5,chi_sin,1.046151940508929,0.1357984647908096,7.703709626765451,1.3217200155207274e-14
L2_level_only,cos2,cos2,0.08885606513477931,0.015531039878608495,5.721192259454837,1.0577911471862454e-08
L2_level_only,sin2,sin2,0.030015016442287167,0.018952539513040424,1.5836936481063728,0.11326345098381198
S2b_balanced,m0,const,3.458527763255476,0.03606491406282079,95.89729666986402,0.0
S2b_balanced,m1,cos_xi,0.14912226420011535,0.04831204098948778,3.086647989733302,0.0020242715529809937
S2b_balanced,m2,sin_xi,0.044251243627476164,0.052427947438436324,0.8440392155240928,0.3986474922377675
S2b_balanced,m3,chi,-0.22698924291131053,0.0922605334786156,-2.4603070712128794,0.013881818555443497
S2b_balanced,m4,chi_cos,0.11303244253763145,0.11851105066864312,0.953771331026928,0.34019940423949147
S2b_balanced,m5,chi_sin,1.0584700612174107,0.13598257761945465,7.783865254999978,7.034167575122987e-15
S2b_balanced,cos2,cos2,0.08082485229890925,0.04098126555493188,1.9722390512945591,0.048582323646882655
S2b_balanced,sin2,sin2,-0.03321688421477588,0.059206890900218107,-0.5610307129748898,0.5747766000419745
S2b_balanced,m6,chi_cos2,0.023542138843859174,0.10269859307682203,0.22923526154101115,0.8186860674252132
S2b_balanced,m7,chi_sin2,0.17924896623665432,0.14388155483291765,1.2458092105329766,0.21283444733989199
S3_weighted,m0,const,3.444604599728628,0.06877682726124772,50.08379619845432,0.0
S3_weighted,m1,cos_xi,0.20693186637059316,0.13312723671843446,1.5543916592233962,0.12009102156886117
S3_weighted,m2,sin_xi,0.2048271374040616,0.07168857607382302,2.8571796040855375,0.004274239071017801
S3_weighted,m3,chi,-0.13419283652404096,0.17137495667283606,-0.7830364431847662,0.4336057117603186
S3_weighted,m4,chi_cos,0.07196580472320113,0.30240682300788274,0.23797678903999206,0.8118990967627593
S3_weighted,m5,chi_sin,0.8481763072675262,0.18341642230248337,4.624320421367429,3.758285203929912e-06
