OCC_CODE,proj,bundle,value,strip,cong,reinst,dlnw
11-1011,-0.16087877459548866,-20.619001332852257,-1.1539098700950214,-1.0152506034513191,-0.261269770107603,0.12261050346390068,0.14852887574119844
11-1011,-0.08422122821755353,-46.355429450535894,-2.098480425642623,-2.614789877701334,0.3569844231806558,0.15932502887805478,0.14852887574119844
11-1021,-0.22476006605139032,-16.179765357012666,0.11313977744277981,-0.7084053795621343,0.7697212950504653,0.05182386195444888,0.04834778415779395
11-2011,-0.12217207979253393,-16.263047482148412,-0.664153063906848,-0.5712909230376599,-0.15572885624078792,0.06286671537159982,0.062942119956797
11-2021,-0.1549449208416179,-30.944444461546464,-1.207292154551634,-1.5037970172206379,0.18740441215697268,0.10910045051203121,0.1979309677210308
11-2022,-0.110195083851576,-11.274955294483943,-0.2558376375083986,-0.4705607434388184,0.15572031048977308,0.05900279544064668,0.1575468255420711
11-3021,-0.19006369744443352,-27.333946295765543,-1.1015378413667292,-1.3136494473404032,0.12235659452489611,0.08975501144877795,0.17942788526982412
11-3031,-0.21136742664050306,-19.73710929526613,-0.5216365853986522,-0.9092249591918271,0.32819363047297156,0.059394743320203336,0.2486598984353785
11-3031,-0.13713506137738765,-17.247958686622034,-0.490008042984051,-0.6705856772716685,0.10379150032320794,0.07678613396440959,0.2486598984353785
11-3031,-0.17287943345368703,-33.351677046833984,-1.3150611635704001,-1.6694136716608832,0.2624325593100094,0.0919199487804736,0.2486598984353785
11-3051,-0.08549819717081959,-20.423853090995273,-0.7512329313959674,-0.818102127698348,-0.0028346270027310716,0.06970382330511171,0.1783367661562658
11-3051,-0.041257050537697494,-36.94619142267422,-1.288339738830988,-1.169781610472504,-0.1844350806797288,0.0658769523212448,0.1783367661562658
11-3051,-0.06021791124539945,-19.695519057829593,-0.8003112299375132,-0.5916978202499128,-0.257819100764205,0.04920569107660455,0.1783367661562658
11-3051,-0.06665503473879716,-16.08140948384978,-0.7360352618327917,-0.4755263683125639,-0.2989680724806534,0.03845917896042561,0.1783367661562658
11-3051,-0.09646402769732124,-13.894702147493529,-0.7057282891056507,-0.39790142974183285,-0.3506408740558169,0.04281401469199908,0.1783367661562658
11-3051,-0.10107750291128598,-19.030102126427916,-0.8081739474572198,-0.5827976208903163,-0.2807696756030431,0.05539334903613957,0.1783367661562658
11-3061,-0.2434370308246467,-17.65331896553659,-0.9053686678057513,-0.5463997748998355,-0.4224917857560424,0.06352289285012658,0.20095167326675334
11-3071,-0.15144304401192737,-26.84424041207293,-1.1116898343904116,-1.1141543003153376,-0.05207137377666893,0.054535839701594924,0.12571939203857152
11-3111,-0.1847242792832006,-22.626320310246026,-1.0127044231638593,-0.9991491178665766,-0.08496007992030385,0.07140477462302108,0.1993861936489596
11-3121,-0.17584205875589057,-17.71037483014958,-0.7005422777248587,-0.7945346292537576,0.015788683420510985,0.07820366810838797,0.24615251167910035
11-3131,-0.20396329962354168,-26.2204537192522,-1.3992352237504928,-1.1512979411569217,-0.3393215407101029,0.09138425811653184,0.15974444196249715
11-9021,-0.15169396694626872,-29.775428990247352,-1.236766163157581,-1.245907749479049,-0.07634969394874735,0.08549128027021524,0.1881270883392756
11-9031,-0.12211769202110159,-13.37374636524708,-0.9390441395119269,-0.5382339990399418,-0.4408665776608336,0.04005643718884855,0.20696506501297485
11-9033,-0.1137872749269137,-9.951662324761697,-0.2506322666235743,-0.2296897624926908,-0.06731588475690531,0.04637338062602181,0.09199494157479293
11-9041,-0.10073786262497743,-40.97145346002348,-1.6542460318028733,-1.7007997640430887,-0.04995682453412664,0.09651055677434206,0.16766150738730357
11-9041,-0.04814436327526185,-41.39245509373147,-1.5587993519864112,-1.4256815698085892,-0.20290874070271192,0.06979095852488992,0.16766150738730357
11-9051,-0.21231633388905266,-11.83786391393845,-0.5182783573853618,-0.4609514747479895,-0.0953699226517899,0.038043040014417606,0.22644636170289223
11-9071,-0.0664952376738035,-4.85274131461421,-0.4502820868593944,-0.2039932287899786,-0.28598186225097777,0.039693004181561964,0.21802503563264386
11-9081,-0.03640076956734622,-3.07648683058665,-0.5487815373213913,-0.09776573791097976,-0.47913338591151966,0.02811758650110807,0.24064333504487934
11-9111,-0.18103381969094523,-22.871886453905972,-0.6985395235650382,-0.9655683097137628,0.18527119396150926,0.08175759218721534,0.20422210106397554
11-9121,-0.13518750625322054,-42.7171632949988,-2.1647888619202273,-2.1914095028623386,-0.20460372434611895,0.23122436528822998,0.2586270099143082
11-9121,-0.15486195150031304,-32.20784956819175,-1.83112286262558,-1.6996536257115613,-0.20268855392064156,0.07121931700662287,0.2586270099143082
11-9121,-0.11687535238729743,-45.205371518125254,-2.0731500304721635,-1.9537238464553672,-0.22431920906742264,0.10489302505062637,0.2586270099143082
11-9131,-0.008350425288506373,-1.196315122101892,-0.5037014921262473,-0.05794611214377099,-0.47771025871363015,0.03195487873115388,0.22870017014834643
11-9141,-0.1527777963829186,-14.472007203578011,-0.5741015162183447,-0.6228096470607483,0.0016185940648165698,0.04708953677758698,0.17491959849828653
11-9151,-0.13747276025215638,-17.153191234891445,-0.8632525145861543,-0.8233308723517427,-0.10303735700342909,0.06311571476901756,0.180098931631683
11-9161,-0.11849732465887619,-35.112435288586134,-1.603589965229188,-1.623368016783759,-0.13513468980896293,0.15491274136353383,0.22414695181090538
11-9171,-0.13854602977811525,-8.64834330321778,-0.7150546420225883,-0.2642102614120967,-0.49007137656788125,0.039226995957389654,0.03137407080913457
13-1011,-0.08494388471805746,-9.934224874676895,-0.4274637071112477,-0.2930451514095993,-0.17136378052317847,0.036945224821530065,0.11699915225808732
13-1031,-0.11198366876585558,-28.6172483288527,-1.3605293328667127,-1.32556000631866,-0.09931805789710668,0.06434873134905383,0.1551734248749428
13-1032,-0.01828584522079764,-4.884634694364362,-0.834589272096141,-0.16420001137443618,-0.6985557577250399,0.028166497003335067,0.2121696856510984
13-1041,-0.15612692627506736,-36.176685238674466,-1.4947199985428925,-1.571889505811357,-0.01358194015812253,0.09075144742658692,0.15612806945837177
13-1041,-0.18392533701073832,-30.858160576354834,-1.2066958362282714,-1.369746378667054,0.08072101067194026,0.08232953176684243,0.15612806945837177
13-1041,-0.038114539001261126,-35.53986432873222,-1.3168619879435197,-1.2428816502137199,-0.14607867555939413,0.0720983378295943,0.15612806945837177
13-1041,-0.1198529979064957,-16.620157904849986,-0.6873302957219232,-0.6500187623852018,-0.07865245906737961,0.041340925730658284,0.15612806945837177
13-1041,-0.04383960821761832,-42.41483410729932,-2.0449722350188133,-2.295804263040462,0.11028831266662742,0.14054371535502086,0.15612806945837177
13-1041,-0.06183917663236878,-4.122427519517476,-0.08113122664961203,-0.21593027026532052,0.09899096004903951,0.03580808356666898,0.15612806945837177
13-1051,-0.07681680187166008,-30.18618578343146,-1.228162208058428,-1.2788128021568936,-0.007302200834858219,0.05795279493332384,0.18804312357859
13-1071,-0.15760095495087173,-16.43749112064202,-0.4106629204004406,-0.7785249282876334,0.3231090402444572,0.04475296764273562,0.20408502063986056
13-1074,-0.026636496459865544,-2.0792906288186606,-0.31035638746034966,-0.07684991306028399,-0.2779091466277315,0.04440267222766581,-0.05737579010924421
13-1075,-0.13368660549246217,-24.6387232902048,-1.1922142736570174,-1.1447189433193845,-0.11988048739135748,0.07238515705372461,0.3238640238467818
